GEOID,Submarket
13089023315,Stone Mountain
13135050311,Norcross
13035150102,Jackson
13035150201,Jackson
13035150202,Jackson
13035150101,Jackson
13077170309,Newnan
13077170308,Newnan
13077170310,Newnan
13077170307,Newnan
13077170408,Newnan
13077170102,Newnan
13077170702,Newnan
13077170701,Newnan
13077170604,Newnan
13077170101,Newnan
13077170407,Newnan
13077170606,Newnan
13077170607,Newnan
13077170605,Newnan
13045910301,Carrollton
13045910105,Villa Rica
13045910106,Villa Rica
13045911202,Carrollton
13045910709,Carrollton
13045910707,Carrollton
13045910706,Carrollton
13045910504,Carrollton
13045910202,Villa Rica
13045910201,Villa Rica
13045910302,Carrollton
13045911201,Carrollton
13045910705,Carrollton
13117130413,Cumming
13117130414,Cumming
13117130512,Cumming
13117130511,Cumming
13117130411,Cumming
13117130412,Cumming
13117130415,Cumming
13117130614,Cumming
13117130615,Cumming
13151070120,Stockbridge
13151070408,McDonough
13151070207,McDonough
13151070211,McDonough
13151070209,McDonough
13151070407,McDonough
13151070315,McDonough
13151070212,McDonough
13089021906,Stone Mountain
13121010108,Sandy Springs
13045910503,Carrollton
13045911101,Carrollton
13045910203,Villa Rica
13045911001,Carrollton
13045910704,Carrollton
13045910708,Carrollton
13045911002,Carrollton
13045911102,Carrollton
13085970103,Dawsonville
13085970204,Dawsonville
13085970206,Dawsonville
13085970102,Dawsonville
13085970205,Dawsonville
13085970203,Dawsonville
13085970101,Dawsonville
13121010508,Union City - Fairburn
13151070316,McDonough
13151070412,McDonough
13151070116,Stockbridge
13151070411,McDonough
13151070507,McDonough
13151070506,McDonough
13151070508,McDonough
13151070314,McDonough
13151070115,Stockbridge
13151070323,McDonough
13151070410,McDonough
13151070505,McDonough
13151070503,McDonough
13151070504,McDonough
13151070118,Stockbridge
13151070117,Stockbridge
13151070121,Stockbridge
13151070126,Stockbridge
13151070409,McDonough
13151070124,Stockbridge
13151070119,Stockbridge
13151070208,McDonough
13151070317,McDonough
13151070324,McDonough
13151070318,McDonough
13151070213,McDonough
13151070216,McDonough
13151070206,McDonough
13151070210,McDonough
13151070312,McDonough
13227050601,Pickens County
13227050202,Pickens County
13227050201,Pickens County
13227050101,Pickens County
13227050102,Pickens County
13227050602,Pickens County
13151070128,Stockbridge
13151070214,McDonough
13151070320,McDonough
13151070215,McDonough
13151070122,Stockbridge
13151070125,Stockbridge
13151070313,McDonough
13151070325,McDonough
13151070123,Stockbridge
13151070322,McDonough
13151070321,McDonough
13151070127,Stockbridge
13151070319,McDonough
13063040639,Jonesboro
13063040629,Jonesboro
13063040418,Stockbridge
13063040420,Stockbridge
13063040424,Jonesboro
13063040427,Stockbridge
13063040537,Jonesboro
13063040538,Jonesboro
13063040635,Jonesboro
13063040628,Jonesboro
13063040633,Stockbridge
13255160800,Griffin
13255160900,Griffin
13255161100,Griffin
