GEOID,Submarket
13089021411,West Chamblee
13089021416,Lenox
13121006601,West End/Fairlie Poplar/Underground
13121010601,East Point/Hapeville
13121010603,College Park/Hartsfield-Jackson International
13121010604,College Park/Hartsfield-Jackson International
13063040309,Forest Park
13063040310,Forest Park
13067031111,North Vinings
13089021405,Buckhead
13089022001,North Decatur/Clarkston/Scottdale
13089022005,North Decatur/Clarkston/Scottdale
13089023602,Chandler-McAfee/West Belvedere Park
13089023603,Chandler-McAfee/West Belvedere Park
13089021502,North Druid Hills
13089021602,North Druid Hills
13089021703,Northlake
13089022401,Inman Park/Virgina Highlands
13089022403,Inman Park/Virgina Highlands
13089022700,Decatur
13063040534,East Riverdale
13063040532,East Riverdale
13063040531,East Riverdale
13089023501,Chandler-McAfee/West Belvedere Park
13121001400,Inman Park/Virgina Highlands
13121001600,Inman Park/Virgina Highlands
13121003600,West End/Fairlie Poplar/Underground
13121009802,Buckhead
13121006801,Lakewood
13121009700,Buckhead
13121002500,Midtown West/Centennial Place
13121007100,Lakewood
13121007200,Lakewood
13121006200,West End/Fairlie Poplar/Underground
13121004200,West End/Fairlie Poplar/Underground
13121003700,West End/Fairlie Poplar/Underground
13121010211,North Buckhead
13121012000,West End/Fairlie Poplar/Underground
13121007002,Lakewood
13121009900,Buckhead
13121011000,East Point/Hapeville
13121000100,Midtown
13121000400,Midtown
13121000502,Midtown
13121008905,Atlantic Station
13121000601,Midtown West/Centennial Place
13121011802,Midtown West/Centennial Place
13121009405,Lindbergh
13121009203,Lindbergh
13121000202,Midtown
13121010522,College Park/Hartsfield-Jackson International
13121008909,Atlantic Station
13121008701,Bankhead
13121009411,Lenox
13121009409,Lenox
13121010003,Buckhead
13121010222,North Buckhead
13121010006,Buckhead
13121009406,Lindbergh
13121010132,Sandy Springs/Dunwoody
13121010220,Sandy Springs/Dunwoody
13121009301,Haynes Manor/Peachtree Hills
13121009105,South Buckhead
13121009408,Lenox
13121000602,Midtown West/Centennial Place
13121008203,Harwell Heights
13121007710,East Point/Hapeville
13121011309,East Point/Hapeville
13121010521,College Park/Hartsfield-Jackson International
13121009604,Buckhead Village
13121005504,Lakewood
13121011310,East Point/Hapeville
13121001101,Midtown South
13121007709,East Point/Hapeville
13121009410,Lenox
13121010131,Sandy Springs/Dunwoody
13121001102,Midtown South
13121001204,Midtown South
13121001205,Midtown South
13121001203,Midtown South
13121001902,Midtown West/Centennial Place
13121001301,Midtown South
13121010529,College Park/Hartsfield-Jackson International
13121011901,West End/Fairlie Poplar/Underground
13121008906,Atlantic Station
13121008907,Atlantic Station
13121009504,Haynes Manor/Peachtree Hills
13121009804,Buckhead
13121010530,College Park/Hartsfield-Jackson International
13121009104,South Buckhead
13063040533,East Riverdale
13121001206,Midtown South
13121009103,South Buckhead
13121000501,Midtown
13089023445,Grant Park/East Atlanta/Panthersville
13089021224,Sandy Springs/Dunwoody
13089021230,Sandy Springs/Dunwoody
13089021608,Northlake
13089021710,Northlake
13089021820,Northlake
13089021220,North Buckhead
13089021225,Sandy Springs/Dunwoody
13089021815,East Chamblee
13089022013,North Decatur/Clarkston/Scottdale
13089021227,Sandy Springs/Dunwoody
13089022405,North Decatur/Clarkston/Scottdale
13089021506,North Druid Hills
13089021309,East Chamblee
