GEOID,submarket
41045970200,Malheur
41045970500,Malheur
41045970400,Malheur
41045940000,Malheur
41045970700,Malheur
41045970600,Malheur
41045970300,Malheur
41045970900,Malheur
16039960202,Elmore
16039960402,Elmore
16039960201,Elmore
16039960401,Elmore
16027021701,Caldwell
16027020406,Nampa
16027021802,Canyon
16027021008,Caldwell
16027021702,Caldwell
16027021105,Middleton
16027022302,Canyon
16027020904,Canyon
16027020907,Canyon
16027020905,Canyon
16045960301,Gem
16045960302,Gem
16073950200,Owyhee
16073950101,Owyhee
16073950102,Owyhee
16001010501,Ada
16027022301,Canyon
16027021801,Canyon
16027021101,Middleton
16027020910,Canyon
16027020403,Nampa
16027022303,Canyon
16027021202,Caldwell
16027020903,Canyon
16001001500,Boise_West
16001001100,Garden City
16001002100,Boise_South
16001001201,Winstead Park
16001000302,Garden City
16001000803,Boise_Southeast
16027021005,Caldwell
16027021102,Nampa
16027021201,Caldwell
16027020604,Nampa
16027021003,Caldwell
16027020505,Nampa
16027020506,Nampa
16027020908,Canyon
16027021004,Caldwell
16027020603,Nampa
16027021007,Caldwell
16027020405,Nampa
16027021006,Caldwell
16075960301,Payette
16075960302,Payette
16001002000,Boise_West
16001002412,Ada
16027021905,Middleton
16027021906,Middleton
16027021104,Nampa
16027021103,Nampa
16027020404,Nampa
16027020909,Canyon
16027021907,Middleton
16027020906,Canyon
16001001900,Boise_West
16027022400,Canyon
16027020300,Nampa
16027021500,Caldwell
16075960400,Payette
16075960100,Payette
16075960200,Payette
16027021300,Caldwell
16027021600,Caldwell
16027020200,Nampa
16027020100,Nampa
16027022100,Canyon
16027022200,Canyon
16027021901,Middleton
16045960100,Gem
16045960200,Gem
16001000602,Garden City
16001000101,Boise_Downtown
16001000704,Boise_Northeast
16001010101,Ada
16001010349,Meridian
16001010351,Meridian
16001010350,Meridian
16001010353,Meridian
16001001600,Boise_West
16001001800,Boise_West
16027020700,Canyon
16027021904,Canyon
16027020601,Canyon
16027020501,Nampa
16027020503,Nampa
16001000202,Boise_North
16001000805,Boise_Southeast
16001002313,West Valley
16001010228,Ada
16001000701,Boise_Northeast
16001000201,Boise_North
16001000303,Garden City
16001010503,Ada
16001002223,Southwest Ada County Alliance
16001010224,Ada
16039960300,Elmore
16039960100,Elmore
16001000808,Boise_Southeast
16039960500,Elmore
16001010364,Meridian
16001010352,Meridian
16001010363,Meridian
16001010361,Meridian
16001010365,Meridian
16001010366,Meridian
16001010367,Meridian
16001010356,Meridian
16001010337,Meridian
16001002229,Southwest Ada County Alliance
16001002230,Southwest Ada County Alliance
16001002231,Southwest Ada County Alliance
16001010369,Meridian
16001010343,Meridian
16001002319,West Bench
16001001003,Boise_West
16001002419,West Bench
16001010362,Meridian
16001010359,Meridian
16001010355,Meridian
16001010230,Ada
16001010236,Garden City
16001010233,Ada
16001010234,Ada
16001010237,Garden City
16001010102,Ada
16001010229,Ada
16001010506,Ada
16001010338,Meridian
16001002415,West Valley
16001002314,West Valley
16001010407,Kuna
16001010408,Kuna
16001002317,West Valley
16001010406,Kuna
16001010348,Meridian
16001010345,Meridian
16001001001,Boise_West
16001002226,Southwest Ada County Alliance
16001010354,Meridian
16001010336,Meridian
16001010403,Kuna
16001010405,Kuna
16001010409,Southwest Ada County Alliance
16001010232,Ada
16001000305,Garden City
16001010404,Kuna
16001010358,Meridian
16001002418,West Bench
16001000401,Garden City
16001000402,Garden City
16001000502,Garden City
16001000601,Garden City
16001010342,Meridian
16001010505,Ada
16001010235,Ada
16001000807,Boise_Southeast
16001010357,Meridian
16001002225,Southwest Ada County Alliance
16001002416,West Valley
16001002414,West Valley
16001010360,Meridian
16001010411,Southwest Ada County Alliance
16001000703,Boise_Northeast
16001010341,Meridian
16001010344,Meridian
16001000809,Boise_Southeast
16001010410,Southwest Ada County Alliance
16001010347,Meridian
16001002227,Southwest Ada County Alliance
16001002228,Southwest Ada County Alliance
16001000306,Garden City
16001000810,Boise_Southeast
16001010346,Meridian
16001010370,Meridian
16001010340,Meridian
16001001203,Winstead Park
16001000102,Boise_Downtown
16001002315,West Valley
16001001204,Winstead Park
16001010226,Ada
16001010227,Ada
16001002318,West Bench
16001001701,Boise_West
16001001702,Boise_West
16001001002,Boise_West
16001000901,Boise_West
16001001401,Boise_West
16001000806,Boise_Southeast
16001000902,Boise_West
16001010371,Meridian
16001010368,Meridian
16001002316,West Valley
16001010339,Meridian
16001000501,Garden City
16001010231,Ada
16001002417,West Valley
16001001402,Boise_West
