GEOID,submarket
37019020510,Brunswick
37019020601,Brunswick
37019020102,Brunswick
37019020304,Brunswick
37019020305,Southport
37019020504,Brunswick
37019020201,Brunswick
37019020307,Southport
37019020308,Brunswick
37019020518,Brunswick
37019020517,Brunswick
37019020516,Brunswick
37019020106,Brunswick
37019020515,Brunswick
37019020108,Brunswick
37019020315,Southport
37019020313,Brunswick
37019020314,Brunswick
37019020205,Brunswick
37019020105,Brunswick
37019020107,Brunswick
37019020316,Southport
37019020311,Brunswick
37019020408,Brunswick
37019020409,Brunswick
37019020513,Brunswick
37019020514,Brunswick
37019020206,Brunswick
37019020407,Brunswick
37019020512,Brunswick
37019020312,Brunswick
37019020406,Brunswick
37019020511,Brunswick
37019020603,Brunswick
37019020101,Brunswick
37019020404,Brunswick
37019020405,Brunswick
37019020508,Brunswick
37019020602,Brunswick
37019020203,Brunswick
37019020204,Brunswick
37019020306,Southport
37019020505,Brunswick
45051050402,Myrtle Beach
45051020201,Horry
45051060310,Horry
45051020302,Horry
45051051607,Burgess
45051020202,Horry
45051020301,Horry
45051030104,Horry
45051050902,Myrtle Beach
45051051606,Burgess
45051060211,Red Hill
45051060210,Red Hill
45051050901,Myrtle Beach
45051051608,Burgess
45051051609,Burgess
45051060309,Horry
45043920302,Georgetown
45019003600,North Charleston
45019004800,Mount Pleasant
45019002007,Charleston_James Island
45019002604,Charleston_West Ashley
45019002900,Charleston_West Ashley
45019003110,North Charleston
45015020804,Goose Creek
45019003113,North Charleston
45019003200,North Charleston
45019003700,North Charleston
45019004000,North Charleston
45019004300,North Charleston
45035010807,Summerville
45019004613,Mount Pleasant
45035010823,Summerville
45035010301,Dorchester
45035010302,Dorchester
45035010821,Summerville
45035010822,Summerville
45035010506,Summerville
45035010508,Summerville
45035010507,Summerville
45015020602,Berkeley
45015020304,Berkeley
45015020407,Charleston_Daniel Island
45015020601,Berkeley
45015020303,Berkeley
45015020406,Charleston_Daniel Island
45019002002,Charleston_James Island
45019002200,Charleston_Southwest
45019000200,Charleston_Downtown
45019003500,North Charleston
45019003000,Charleston_James Island
45019002006,Charleston_James Island
45019003400,North Charleston
45019003109,North Charleston
45019004607,Mount Pleasant
45019002702,Charleston_West Ashley
45019003106,Ladson
45019002605,Charleston_West Ashley
45019003111,North Charleston
45019003300,North Charleston
45019004400,North Charleston
45019001902,Charleston_James Island
45019003105,North Charleston
45043920202,Georgetown
45019000400,Charleston_Downtown
45019000500,Charleston_Downtown
45043920504,Georgetown
45043920510,Georgetown
45043920511,Georgetown
45051051403,Myrtle Beach
45051051404,Garden City-Surfside Beach
45051051603,Burgess
45051060102,Red Hill
45051060203,Red Hill
45051060206,Red Hill
45051060405,Red Hill
45051060406,Red Hill
45051070702,Conway
45051051700,Myrtle Beach
45035010604,Summerville
45035010505,Summerville
45035010819,Summerville
45035010820,North Charleston
45035010813,Summerville
45035010818,North Charleston
45035010814,Ladson
45019004901,Mount Pleasant
45019004902,Mount Pleasant
45019004621,Mount Pleasant
45019003900,Charleston_West Ashley
45019002005,Charleston_James Island
45019000100,Charleston_Downtown
45019000600,Charleston_Downtown
45019000700,Charleston_Downtown
45015020715,Summerville
45035010607,Summerville
45035010608,Summerville
45019002103,Charleston_Southwest
45019002614,Charleston_West Ashley
45019004614,Mount Pleasant
45051070102,Horry
45051030102,Horry
45051070101,Horry
45051040101,Horry
45051040105,North Myrtle Beach
45051051503,Myrtle Beach
45051050401,Myrtle Beach
45051051201,Garden City-Surfside Beach
45051051302,Garden City-Surfside Beach
45043920204,Georgetown
45043920203,Georgetown
45043920508,Georgetown
45043920601,Georgetown
45043920602,Georgetown
45043920509,Georgetown
45043920506,Georgetown
45043920507,Georgetown
45043920701,Georgetown
45043920702,Georgetown
45035010503,Summerville
45035010603,Summerville
45035010606,Summerville
45051070601,Conway
45051070602,Red Hill
45051080101,Horry
45051060403,Conway
45051051202,Garden City-Surfside Beach
45051070701,Horry
45051080102,Horry
45051060301,Horry
45051040103,North Myrtle Beach
45051040104,North Myrtle Beach
45051060404,Red Hill
45051060303,North Myrtle Beach
45051050303,Myrtle Beach
45051060204,Red Hill
45015020807,Goose Creek
45015020202,Berkeley
45015020503,Berkeley
45015020404,Charleston_Daniel Island
45015020710,Summerville
45015020810,Goose Creek
45015020720,Goose Creek
45015020718,Summerville
45015020716,Ladson
45015020714,Summerville
45015020812,Goose Creek
45015020719,Goose Creek
45015020505,Berkeley
45015020707,Goose Creek
45015020102,Berkeley
45015020401,Berkeley
45015021000,Hanahan
45019003107,Ladson
45019002300,Charleston_Southwest
45019002606,Charleston_West Ashley
45019002701,Charleston_West Ashley
45019003104,North Charleston
45019000900,Charleston_Downtown
45019001000,Charleston_Downtown
45019004701,Mount Pleasant
45019002611,Charleston_West Ashley
45043920800,Georgetown
45019003108,North Charleston
45019001100,Charleston_Downtown
45019003800,North Charleston
45019001500,Charleston_Downtown
45019001901,Charleston_James Island
45019002004,Charleston_James Island
45043920400,Georgetown
45043920301,Georgetown
45043920100,Georgetown
45019005100,Charleston_Downtown
45019002802,Charleston_James Island
45019002104,Charleston_Southwest
45019002105,Charleston_Southwest
45019002612,Charleston_West Ashley
45019002613,Charleston_West Ashley
45019003115,North Charleston
45019004702,Mount Pleasant
45019002801,Charleston_West Ashley
45019004622,Mount Pleasant
45019004609,Mount Pleasant
45019004610,Mount Pleasant
45019005400,Charleston_Downtown
45019005800,Charleston_West Ashley
45019005500,North Charleston
45015020504,Berkeley
45051051406,Garden City-Surfside Beach
45051051405,Garden City-Surfside Beach
45051051502,Myrtle Beach
45051051501,Myrtle Beach
45043920502,Georgetown
45051051301,Garden City-Surfside Beach
45051060207,Horry
45051060209,Red Hill
45051051000,Myrtle Beach
45051050102,Myrtle Beach
45051051605,Burgess
45051060101,Red Hill
45051040102,North Myrtle Beach
45015020405,Berkeley
45015020506,Berkeley
45015020721,Goose Creek
45015020101,Berkeley
45015980100,Goose Creek
45015020201,Berkeley
45015020724,Goose Creek
45035010808,Summerville
45035010400,Dorchester
45035010100,Dorchester
45035010200,Dorchester
45035010809,Summerville
45035010700,Summerville
45035010801,Dorchester
45035010501,Summerville
45015020723,Goose Creek
45015020712,Berkeley
45015020713,Summerville
45015020717,Ladson
45015020722,Goose Creek
45015020806,Goose Creek
45035010817,Summerville
45035010815,Ladson
45019004612,Mount Pleasant
45019005300,Charleston_Downtown
45015020904,Hanahan
45015020811,Goose Creek
45015020301,Berkeley
45015020711,Berkeley
45015020809,Goose Creek
45015020903,Hanahan
45015020725,Goose Creek
45015020808,Goose Creek
45019005701,Charleston_West Ashley
45019002108,Charleston_Southwest
45019002504,Charleston_Southwest
45019002106,Charleston_Southwest
45019004619,Mount Pleasant
45019002008,Charleston_James Island
45019005602,Charleston_West Ashley
45019005601,Charleston_West Ashley
45019003117,North Charleston
45019005002,Mount Pleasant
45019002401,Charleston_Southwest
45019002009,Charleston_James Island
45019004616,Mount Pleasant
45019002503,Charleston_Southwest
45019002107,Charleston_Southwest
45019002402,Charleston_Southwest
45019003116,North Charleston
45019004620,Mount Pleasant
45019005900,Charleston_Downtown
45019004615,Mount Pleasant
45019004618,Mount Pleasant
45019005001,Mount Pleasant
45019004617,Mount Pleasant
45019005702,Charleston_West Ashley
45051070500,Conway
45051070200,Conway
45051050500,Myrtle Beach
45051040500,North Myrtle Beach
45051020100,Horry
45051010100,Horry
45051040200,North Myrtle Beach
45051040400,North Myrtle Beach
45051070400,Conway
45051080200,Horry
45051070300,Conway
45015020901,Hanahan
45051980100,Myrtle Beach
45051040300,North Myrtle Beach
45051050200,Myrtle Beach
45051050600,Myrtle Beach
45051050700,Myrtle Beach
