GEOID,Submarket
37179020501,Monroe
37179020308,Monroe
37179020317,Monroe
37179020312,Monroe
37179021015,Outlying Union County
37179021009,Ballantyne - Providence
37179021012,Outlying Union County
37179020310,Monroe
37119000900,Tryon Hills
37119001000,Morningside
37119001100,Morningside
37119001200,Morningside
37119001300,Tryon Hills
37119003805,Southwest Charlotte
37119003203,Colonial Village - Montclaire
37119003108,Colonial Village - Montclaire
37071030601,Outlying Gaston County
37071030501,Outlying Gaston County
37071030602,Outlying Gaston County
37119001504,Hidden Valley - Oak Forest
37119001505,Hidden Valley - Oak Forest
37119001603,Eastland - Windsor Park
37071031102,Mt Holly
37119001702,Briarcreek -Oakhurst
37025041701,Outlying Cabarrus County
37025041503,Outlying Cabarrus County
37025041602,Outlying Cabarrus County
37025042603,Concord - west
37025041301,Kannapolis
37025041702,Outlying Cabarrus County
37025042401,Concord - east
37119001701,Briarcreek -Oakhurst
37119001910,Eastland - Windsor Park
37179020314,Monroe
37025041902,Concord - east
37119003016,Wessex Square
37119003102,Colonial Village - Montclaire
37119005916,Colonial Village - Montclaire
37119003808,Colonial Village - Montclaire
37119005918,Southwest Charlotte
37071031004,Mt Holly
37071031202,Mt Holly
37071032505,Gastonia - south
37119002100,Briarcreek -Oakhurst
37119002300,Briarcreek -Oakhurst
37119002400,Morningside
37119002500,Morningside
37119003201,Colonial Village - Montclaire
37007920100,Anson County
37007920400,Anson County
37007920600,Anson County
37007920200,Anson County
37167930902,Stanly County
37119003500,Myers Park
37167931102,Stanly County
37167931101,Stanly County
37167931204,Stanly County
37167931002,Stanly County
37167930901,Stanly County
37167931001,Stanly County
37167931203,Stanly County
37119003106,Colonial Village - Montclaire
37119005913,Southwest Charlotte
37119003903,Southside Park - West Blvd
37119006005,Northwest Charlotte
37119002600,Morningside
37119002800,Cotswold
37119003600,Southside Park - West Blvd
37119004304,Northwest Charlotte
37119006208,Huntersville
37119002004,Stonehaven - Lansdowne
37071031006,Mt Holly
37071030106,Wedgewood
37071032202,Gastonia - south
37071032403,Belmont
37071031304,Gastonia - north
37071030105,Mt Holly
37071030209,Outlying Gaston County
37071033501,Outlying Gaston County
37071032404,Belmont
37071032802,Gastonia - south
37071030207,Outlying Gaston County
37071030206,Outlying Gaston County
37071030104,Wedgewood
37071031705,Outlying Gaston County
37071033309,Outlying Gaston County
37071032405,Belmont
37071032509,Outlying Gaston County
37071033312,Gastonia - south
37071031005,Mt Holly
37071031203,Mt Holly
37071030103,Outlying Gaston County
37071033310,Outlying Gaston County
37179021017,Ballantyne - Providence
37179021016,Ballantyne - Providence
37179021018,Ballantyne - Providence
37179021020,Ballantyne - Providence
37179020406,Monroe
37179021019,Ballantyne - Providence
37179020405,Monroe
37119003008,Pineville
37119003012,Pineville
37119002903,Foxcroft
37119005811,Matthews
37119005710,Becton Park - Marlwood
37119001911,Becton Park - Marlwood
37119003015,Wessex Square
37119004400,Northwest Charlotte
37119001400,Tryon Hills
37119004900,Tryon Hills
37119006105,Wedgewood
37119005816,Ballantyne - Providence
37119006209,Huntersville
37119005511,North Charlotte
37119005611,UNC at Charlotte
37119005200,Tryon Hills
37119003105,Colonial Village - Montclaire
37119980300,Second Ward
37119003013,Wessex Square
37119005815,Wessex Square
37071031706,Outlying Gaston County
37071032406,Belmont
37071032201,Gastonia - south
37071030503,Outlying Gaston County
37071030504,Outlying Gaston County
37071030403,Outlying Gaston County
37071032510,Outlying Gaston County
37071033313,Gastonia - south
37071032801,Gastonia - south
37071031901,Gastonia - north
37071031303,Gastonia - north
37071031204,Mt Holly
37071030404,Outlying Gaston County
37119005715,Outlying Union County
37119005828,Pineville
37119005836,Ballantyne - Providence
37119005834,Matthews
37119005843,Ballantyne - Providence
37159051502,Rowan County
37071033502,Outlying Gaston County
37007980000,Anson County
37159051904,Rowan County
37159051903,Rowan County
37179020901,Outlying Union County
37179020401,Monroe
37179020902,Outlying Union County
37179020205,Monroe
37179020206,Monroe
37179020319,Monroe
37179020318,Monroe
37179020320,Monroe
37179021021,Ballantyne - Providence
37179020321,Monroe
37097061603,Mooresville
37097061605,Mooresville
37097061604,Mooresville
37071031902,Gastonia - north
37071033311,Outlying Gaston County
37071033308,Outlying Gaston County
37071030208,Outlying Gaston County
37119005709,Matthews
37119005712,Matthews
37119005713,Matthews
37119003006,Foxcroft
37119005817,Ballantyne - Providence
37119003802,Southside Park - West Blvd
37119003902,Southside Park - West Blvd
37119004302,Northwest Charlotte
37119004500,Third Ward - Lakewood
37119004600,Third Ward - Lakewood
37119004700,Third Ward - Lakewood
37119004800,Third Ward - Lakewood
37119005100,Tryon Hills
37119005301,Tryon Hills
37025042202,Concord - east
37025042201,Concord - east
37025040502,Concord - east
37025041306,North Charlotte
37025040501,Concord - east
37025041201,Kannapolis
37025041002,Kannapolis
37025041604,Outlying Cabarrus County
37025040704,Kannapolis
37025040705,Kannapolis
37025041506,Outlying Cabarrus County
37025041305,Kannapolis
37025041202,Kannapolis
37025041504,Outlying Cabarrus County
37025041505,Outlying Cabarrus County
37025041603,Outlying Cabarrus County
37025041001,Kannapolis
37025041304,Kannapolis
37025041307,North Charlotte
37025041507,Outlying Cabarrus County
37007920301,Anson County
37007920302,Anson County
37007920502,Anson County
37007920501,Anson County
37045950702,Cleveland County
37045950701,Cleveland County
37045950604,Cleveland County
37045950603,Cleveland County
37119000600,Second Ward
37119000700,Tryon Hills
37119000800,Second Ward
37071032302,Belmont
37071032600,Gastonia - south
37071032100,Gastonia - north
37071033400,Outlying Gaston County
37071032702,Gastonia - south
37071032900,Gastonia - north
37167930300,Stanly County
37167930500,Stanly County
37119004000,Third Ward - Lakewood
37119004200,Third Ward - Lakewood
37123960102,Montgomery County
37123960301,Montgomery County
37123960502,Montgomery County
37123960202,Montgomery County
37123960501,Montgomery County
37123960201,Montgomery County
37123960302,Montgomery County
37123960101,Montgomery County
37167930700,Stanly County
37167930200,Stanly County
37119005619,Hidden Valley - Oak Forest
37119980100,Southside Park - West Blvd
37159051801,Rowan County
37071031600,Outlying Gaston County
37071031800,Gastonia - north
37071032000,Gastonia - north
37045951503,Cleveland County
37045950102,Cleveland County
37045951501,Cleveland County
37045951502,Cleveland County
37071032301,Belmont
37071031001,Gastonia - north
37071031301,Gastonia - north
37071031500,Gastonia - north
37071030700,Outlying Gaston County
37071033202,Gastonia - south
37119002701,Myers Park
37119005404,North Charlotte
37119005403,North Charlotte
37119005519,North Charlotte
37119005516,North Charlotte
37119005515,North Charlotte
37097060200,Statesville - North Iredell County
37097060601,Statesville - North Iredell County
37159050904,Rowan County
37159051501,Rowan County
37025042300,Concord - east
37119004303,Northwest Charlotte
37097060500,Statesville - North Iredell County
37167931202,Stanly County
37025040600,Outlying Cabarrus County
37071033100,Gastonia - north
37025042000,Concord - west
37025040800,Kannapolis
37025041100,Kannapolis
37025040900,Kannapolis
37045951300,Cleveland County
37045951200,Cleveland County
37045950500,Cleveland County
37045951400,Cleveland County
37045951000,Cleveland County
37045950200,Cleveland County
37045950400,Cleveland County
37045950900,Cleveland County
37045951100,Cleveland County
37045950800,Cleveland County
37119005406,North Charlotte
37119005532,UNC at Charlotte
37119005864,Ballantyne - Providence
37119005915,Southwest Charlotte
37119005517,North Charlotte
37119005520,North Charlotte
37119005617,Hidden Valley - Oak Forest
37119005615,Hidden Valley - Oak Forest
37119005612,Hidden Valley - Oak Forest
37119006407,Huntersville
37119006108,Wedgewood
37119006103,Wedgewood
37119005848,Ballantyne - Providence
37119006009,Northwest Charlotte
37119005610,UNC at Charlotte
37119006214,Wedgewood
37119005846,Ballantyne - Providence
37119005000,Tryon Hills
37119005609,UNC at Charlotte
37119005833,Wessex Square
37119001509,Hidden Valley - Oak Forest
37119001801,Briarcreek -Oakhurst
37119001608,Eastland - Windsor Park
37119003109,Colonial Village - Montclaire
37119005827,Colonial Village - Montclaire
37119006109,Wedgewood
37119001605,Eastland - Windsor Park
37119001802,Briarcreek -Oakhurst
37119001607,Eastland - Windsor Park
37119001606,Eastland - Windsor Park
37119005305,Hidden Valley - Oak Forest
37119001920,Coventry Woods - East Forest
37119003017,Wessex Square
37119005840,Ballantyne - Providence
37119005910,Southwest Charlotte
37119005510,North Charlotte
37119005513,North Charlotte
37119005307,Hidden Valley - Oak Forest
37119005306,Hidden Valley - Oak Forest
37119001508,Hidden Valley - Oak Forest
37119005613,Hidden Valley - Oak Forest
37119001510,Hidden Valley - Oak Forest
37119005308,Hidden Valley - Oak Forest
37119001919,Coventry Woods - East Forest
37119001914,Coventry Woods - East Forest
37119001918,Coventry Woods - East Forest
37119001916,Becton Park - Marlwood
37119005621,Hidden Valley - Oak Forest
37119002905,Foxcroft
37071032506,Gastonia - south
37071032703,Gastonia - south
37119005829,Pineville
