GEOID,Submarket
08041002300,Ivy/Stratton Meadows/Lower Skyway
08041006600,Old Colorado City
08041006100,Eastborough
08041006200,Eastborough
08041006400,Pikes Peak Park
08041005900,Fountain Valley/Rustic Hills
08041006501,Fountain Valley/Rustic Hills
08041008000,Holland Park/Cragmor
08041003708,Pinecliff/Rockrimmon
08041004008,Fountain Valley/Rustic Hills
08041004901,Village Seven
08041005122,Elsmere
08041005114,Fountain Valley/Rustic Hills
08041004513,Cheyenne Mountain/Fort Carson
08041004708,Elsmere
08041005000,Fountain Valley/Rustic Hills
08041000102,Village Seven
08041000202,Parkmoor/Garden Ranch
08041000301,Holland Park/Cragmor
08041000400,Downtown/Colorado College
08041000500,Downtown/Colorado College
08041000600,Village Seven
08041000700,Knob Hill/Hillsdale
08041000800,Downtown/Colorado College
08041000900,Downtown/Colorado College
08041001000,Downtown/Colorado College
08041001101,Downtown/Colorado College
08041001104,Old Colorado City
08041001301,Old Colorado City
08041000103,Parkmoor/Garden Ranch
08041004514,Fountain Valley/Rustic Hills
08041004520,Fountain Valley/Rustic Hills
08041004517,Fountain Valley/Rustic Hills
08041004516,Fountain Valley/Rustic Hills
08041003911,Fountain Valley/Rustic Hills
08041005121,Elsmere
08041002802,Pikes Peak Park North
08041005118,Elsmere
08041002902,Ivy/Stratton Meadows/Lower Skyway
08041002901,Ivy/Stratton Meadows/Lower Skyway
08041005113,Elsmere
08041005117,Elsmere
08041005112,Elsmere
08041005124,Elsmere
08041005123,Elsmere
08041003912,Cheyenne Mountain/Black Forest
08041005119,Elsmere
08041003711,Pinecliff/Rockrimmon
08041003710,Pinecliff/Rockrimmon
08041005115,Fountain Valley/Rustic Hills
08041003914,Cheyenne Mountain/Black Forest
08041007302,Cheyenne Mountain/Black Forest
08041007203,Cheyenne Mountain/Black Forest
08041004518,Fountain Valley/Rustic Hills
08041007204,Cheyenne Mountain/Black Forest
08041007105,Cheyenne Mountain/Black Forest
08041007206,Cheyenne Mountain/Black Forest
08041005116,Elsmere
08041004009,Pikes Peak Park
08041004100,Fountain Valley/Rustic Hills
08041004701,Pulpit Rock
08041004702,Briargate/West Norwood
08041001302,Old Colorado City
08041005201,Valley Hill/Park Hill
08041001600,Downtown/Colorado College
08041001700,Downtown/Colorado College
08041003906,Briargate/West Norwood
08041004703,Briargate/West Norwood
08041004800,Parkmoor/Garden Ranch
08041001800,Downtown/Colorado College
08041002000,Village Seven
08041004707,Elsmere
08041004200,Fountain Valley/Rustic Hills
08041004501,Cheyenne Mountain/Fort Carson
08041002101,Knob Hill/Hillsdale
08041002102,Valley Hill/Park Hill
08041002200,Knob Hill/Hillsdale
08041002700,Knob Hill/Hillsdale
08041004515,Fountain Valley/Rustic Hills
08041006502,Fountain Valley/Rustic Hills
08041006702,Old Colorado City
08041003913,Cheyenne Mountain/Black Forest
08041003712,Cheyenne Mountain/Black Forest
08041007104,Cheyenne Mountain/Black Forest
08041004405,Cheyenne Mountain/Fort Carson
08041007402,Cheyenne Mountain/Black Forest
08041007802,Pulpit Rock
08041007801,Pulpit Rock
08041006701,Old Colorado City
08041003713,Cheyenne Mountain/Black Forest
08041007301,Cheyenne Mountain/Black Forest
08041003002,Ivy/Stratton Meadows/Lower Skyway
08041007103,Cheyenne Mountain/Black Forest
08041003401,Cheyenne Mountain/Black Forest
08041007205,Cheyenne Mountain/Black Forest
08041000104,Parkmoor/Garden Ranch
08041004512,Cheyenne Mountain/Fort Carson
08041004519,Fountain Valley/Rustic Hills
08041007603,Cheyenne Mountain/Black Forest
08041007502,Cheyenne Mountain/Black Forest
08041007401,Cheyenne Mountain/Black Forest
08041007501,Cheyenne Mountain/Black Forest
08041002402,Old Colorado City
08041004406,Cheyenne Mountain/Fort Carson
08041003001,Ivy/Stratton Meadows/Lower Skyway
08041005120,Elsmere
08041001902,Knob Hill/Hillsdale
08041001901,Knob Hill/Hillsdale
08041002801,Pikes Peak Park North
08041002401,Old Colorado City
08041007106,Cheyenne Mountain/Black Forest
08041005125,Elsmere
08041003402,Cheyenne Mountain/Black Forest
08041003910,Fountain Valley/Rustic Hills
08041007604,Cheyenne Mountain/Black Forest
08041004404,Cheyenne Mountain/Fort Carson
08041007000,Cheyenne Mountain/Black Forest
08041004502,Fountain Valley/Rustic Hills
08041004902,Elsmere
08041005800,Elsmere
08041001500,Old Colorado City
