GEOID,Submarket
40013795700,Bryan County
40013795900,Bryan County
40013796200,Bryan County
40013796500,Bryan County
40013796600,Bryan County
40013796004,Bryan County
40013796102,Bryan County
40013796003,Bryan County
40013796101,Bryan County
40013796400,Bryan County
40013795600,Bryan County
40013796300,Bryan County
40013796002,Bryan County
48085031679,Plano - West
48085031329,Wylie
48085031512,Allen
48085031676,Plano - West
48085031675,Plano - West
48085030306,Celina
48085032014,Plano - East
48085030534,McKinney - West
48085030903,McKinney - East
48085032016,Plano - East
48085031005,Princeton
48085031006,Princeton
48085031814,Richardson - North
48085030547,McKinney - West
48085031424,Allen
48085030535,McKinney - West
48085030901,McKinney - East
48085031007,Princeton
48085030548,McKinney - West
48085030543,McKinney - West
48085031671,Plano - West
48085030544,McKinney - West
48085031336,Wylie
48085031328,Wylie
48085030608,McKinney - West
48085031425,Allen
48085030538,McKinney - West
48085031670,Plano - West
48085031678,Plano - West
48085031674,Plano - West
48085031672,Plano - West
48085031673,Plano - West
48085031669,Plano - West
48085032015,Plano - East
48085031332,Wylie
48085030539,McKinney - West
48085031721,Dallas - Far North
48085031723,Dallas - Far North
48085030550,McKinney - West
48085031101,Princeton
48085031102,Princeton
48085031419,Allen
48085031415,Allen
48085030204,Anna - Melissa
48085031423,Allen
48085031319,Wylie
48085031326,Wylie
48085031621,Plano - West
48085031622,Plano - West
48085031623,Plano - West
48085031624,Plano - West
48085031626,Plano - West
48085031627,Plano - West
48085031628,Plano - West
48085031630,Plano - West
48085032018,Richardson - North
48085031810,Richardson - North
48085032017,Plano - East
48085031724,Dallas - Far North
48085031904,Richardson - North
48085031809,Plano - West
48085031811,Plano - West
48085031722,Dallas - Far North
48085031504,Allen
48085031611,Plano - West
48085031613,Plano - West
48085031902,Plano - East
48085030537,Frisco
48085031815,Richardson - North
48085031816,Richardson - North
48085031808,Plano - West
48085030540,McKinney - West
48085030541,McKinney - West
48085030536,Frisco
48085031665,Plano - West
48085031334,Wylie
48113013630,Dallas - Preston
48085031335,Wylie
48085031812,Richardson - North
48085031813,Richardson - North
48085030902,McKinney - East
48397040305,Rockwall
48397040303,Rockwall
48397040202,Rockwall
48397040407,Rockwall
48397040403,Rockwall
48397040405,Rockwall
48397040404,Rockwall
48397040304,Rockwall
48397040406,Rockwall
48397040104,Rockwall
48397040201,Rockwall
48397040103,Rockwall
48397040203,Rockwall
48085031666,Plano - West
48085031681,Plano - West
48085030542,McKinney - West
48085031330,Wylie
48085031331,Wylie
48085031008,Princeton
48085030549,McKinney - West
48085031901,Plano - East
48085030102,Princeton
48085031903,Richardson - North
48085030101,Princeton
48085031668,Plano - West
48085031677,Plano - West
48085030207,Anna - Melissa
48085030545,McKinney - West
48085030532,Frisco
48085030533,Frisco
48085030609,McKinney - West
48085031682,Plano - West
48085031333,Wylie
48085032019,Plano - East
48085031667,Plano - West
48113012211,Dallas - John West - Mesquite
48113012400,Dallas - John West - Mesquite
48113013609,Dallas - Park Central
48113013610,Dallas - Park Central
48113013611,Dallas - Far North
48181001901,Sherman
48181001104,Sherman
48113007914,Dallas - Greenville South
48113013625,Dallas - Preston
48113018134,Rowlett
48231960800,Hunt County
48231960300,Hunt County
48231960900,Hunt County
48181000903,Sherman
48181000306,Denison
48181001902,Sherman
48181000305,Denison
48181001103,Sherman
48085031318,Wylie
48085031327,Wylie
48085031416,Allen
48085031511,Allen
48085031325,Wylie
48085031422,Allen
48085031633,Plano - West
48085031634,Plano - West
48181000904,Sherman
48113012208,Dallas - Lakewood
48085030307,Celina
48085030546,McKinney - West
48085031680,Plano - West
48085030410,Frisco
48085030409,Frisco
48113980100,Dallas - Airport
48113000605,Dallas - Oak Lawn
48113007101,Dallas - University Park
48113018002,Dallas - John West - Mesquite
48113012210,Dallas - John West - Mesquite
48113009610,Dallas - Northwest
48397040301,Rockwall
48113002100,Dallas - Downtown
48113001202,Dallas - Lakewood
48113001203,Dallas - Lakewood
48113018508,Dallas - Lake Highlands
48113018205,Garland - South
48113007601,Dallas - Preston
48113007604,Dallas - Preston
48113007605,Dallas - Preston
48113007801,Dallas - Vickery Meadow
48113007805,Dallas - Lake Highlands
48113019019,Dallas - Lake Highlands
48113013624,Dallas - Preston
48113007815,Dallas - Vickery Meadow
48113007819,Dallas - Vickery Meadow
48113007902,Dallas - Greenville South
48113002200,Dallas - Old East
48113002400,Dallas - Old East
48113008000,Dallas - Greenville South
48113008200,Dallas - Lochwood - Highland Meadows
48231961401,Hunt County
48231961402,Hunt County
48097000701,Cooke County
48097000702,Cooke County
48121021611,Carrollton - North
48121021612,Carrollton - North
48121021613,Carrollton - North
48121021614,Carrollton - North
48121021616,Dallas - Far North
48147950100,Fannin County
48147950500,Fannin County
48147950600,Fannin County
48147950300,Fannin County
48147950702,Fannin County
48147950701,Fannin County
48085030512,McKinney - West
48085031632,Plano - West
48085031625,Plano - West
48097000900,Cooke County
48097000100,Cooke County
48097000500,Cooke County
48097000400,Cooke County
48097000200,Cooke County
48113009603,Dallas - Preston
48113009604,Dallas - Preston
48113009605,Dallas - Northwest
48113009607,Dallas - Northwest
48113009608,Dallas - Northwest
48113009609,Dallas - Northwest
48113009611,Dallas - Northwest
48113009702,Dallas - Northwest
48097000600,Cooke County
48121021531,The Colony - Lewisville
48121021644,Carrollton - North
48121021651,Carrollton - North
48121020120,Aubrey
48121021533,Frisco
48085031509,Allen
48085031510,Allen
48085031413,Allen
48085031418,Allen
48085031417,Allen
48085031414,Allen
48085030205,Anna - Melissa
48085030606,McKinney - West
48085031412,Allen
48085030607,McKinney - West
48085031421,Allen
48085031321,Wylie
48085030206,Anna - Melissa
48085031322,Wylie
48085031320,Wylie
48085031420,Allen
48085031324,Wylie
48085031323,Wylie
48121021615,Carrollton - North
48181000200,Denison
48113009802,Dallas - Northwest
48121020121,Aubrey
48121020137,Aubrey
48085031704,Dallas - Far North
48113018144,Rowlett
48113018146,Rowlett
48113018507,Dallas - Lake Highlands
48113019045,Dallas - Lake Highlands
48113019047,Garland - South
48113012802,Dallas - Lochwood - Highland Meadows
48113019051,Garland - North
48113019216,Richardson - North
48113008101,Dallas - Lochwood - Highland Meadows
48113018151,Garland - North
48113013202,Dallas - Park Central
48113013012,Dallas - Lochwood - Highland Meadows
48113008102,Dallas - Lochwood - Highland Meadows
48113000801,Dallas - Old East
48113000902,Dallas - Old East
48113012801,Dallas - Lochwood - Highland Meadows
48113007915,Dallas - Greenville South
48113012502,Dallas - John West - Mesquite
48113012501,Dallas - John West - Mesquite
48113007702,Dallas - University Park
48113007830,Dallas - Vickery Meadow
48113013808,Addison - Farmers Branch
48113007206,Dallas - Northwest
48113010001,Dallas - Airport
48113007831,Dallas - Vickery Meadow
48113013807,Addison - Farmers Branch
48113007203,Dallas - Northwest
48113019215,Richardson - South
48113019214,Richardson - South
48113013729,Carrollton - South
48113000705,Dallas - Old East
48113000706,Dallas - Old East
48113001901,Dallas - Uptown
48113001801,Dallas - Uptown
48113000703,Dallas - Uptown
48113001802,Dallas - Uptown
48113000610,Dallas - Oak Lawn
48113000407,Dallas - Oak Lawn
48113000408,Dallas - Oak Lawn
48113003103,Dallas - Downtown
48113007916,Dallas - Greenville South
48113013631,Dallas - Preston
48113013107,Dallas - Vickery Meadow
48113019049,Garland - North
48113980200,Richardson - North
48113018150,Rowlett
48113000802,Dallas - Old East
48113001602,Dallas - Old East
48113020401,Dallas - Old East
48113000607,Highland Park
48113000501,Dallas - Oak Lawn
48113000503,Dallas - Oak Lawn
48113000502,Dallas - Oak Lawn
48113000409,Dallas - Oak Lawn
48113001902,Dallas - Uptown
48113000704,Dallas - Uptown
48113001705,Dallas - Downtown
48113000609,Dallas - Oak Lawn
48113000611,Dallas - Oak Lawn
48113003102,Dallas - Downtown
48113013628,Addison - Farmers Branch
48113013629,Dallas - Preston
48113007829,Dallas - Lake Highlands
48113019044,Garland - South
48113019046,Garland - South
48113012212,Dallas - Lakewood
48113019048,Garland - North
48113007832,Dallas - Vickery Meadow
48113018152,Garland - North
48113000901,Dallas - Old East
48113000608,Highland Park
48113012213,Dallas - Lakewood
48113007701,Dallas - University Park
48113013728,Carrollton - South
48113013201,Dallas - Preston
48113013106,Dallas - Vickery Meadow
48113013627,Addison - Farmers Branch
48113007205,Dallas - Northwest
48113007204,Dallas - Northwest
48113000410,Dallas - Airport
48085031645,Plano - West
48085031646,Plano - West
48085031647,Plano - West
48085031649,Plano - West
48113018154,Rowlett
48113018157,Rowlett
48121020129,Aubrey
48121020116,Aubrey
48121020123,Aubrey
48121021530,The Colony - Lewisville
48121021655,The Colony - Lewisville
48121021653,The Colony - Lewisville
48121021642,Dallas - Far North
48121021650,Carrollton - North
48121021539,Frisco
48121021529,Frisco
48113018300,Garland - South
48113018401,Garland - South
48113018402,Garland - South
48113018403,Garland - South
48113018600,Garland - South
48113018700,Garland - South
48113018143,Rowlett
48113019101,Richardson - South
48113018148,Garland - South
48113018156,Rowlett
48113018153,Rowlett
48113007834,Dallas - Lake Highlands
48113007835,Dallas - Lake Highlands
48113019102,Richardson - South
48113007833,Dallas - Vickery Meadow
48113018145,Rowlett
48113018149,Rowlett
48113018801,Garland - South
48113018802,Garland - South
48113018900,Garland - South
48113019013,Garland - South
48113019016,Dallas - Lake Highlands
48113019020,Garland - North
48113019023,Richardson - North
48113019024,Richardson - North
48113019025,Garland - North
48113019026,Garland - North
48113019027,Garland - North
48113019028,Garland - North
48113001601,Dallas - Old East
48113007828,Dallas - Lake Highlands
48113013013,Dallas - Lake Highlands
48113018147,Garland - South
48113018155,Rowlett
48113019029,Garland - North
48085031635,Plano - West
48085031636,Plano - West
48085031639,Plano - West
48085031641,Plano - West
48085031642,Plano - West
48113019031,Garland - North
48113019034,Dallas - Lake Highlands
48113019035,Dallas - Lake Highlands
48113019036,Richardson - North
48113019037,Richardson - North
48113019202,Richardson - South
48113019203,Richardson - South
48113019205,Richardson - North
48113019208,Richardson - South
48113019210,Richardson - North
48113019211,Richardson - North
48113019301,Dallas - University Park
48113019400,Dallas - University Park
48113019501,Dallas - University Park
48113017900,Dallas - John West - Mesquite
48113019502,Dallas - University Park
48113019600,Highland Park
48113019700,Highland Park
48113019800,Highland Park
48113013607,Dallas - Park Central
48113012604,Dallas - John West - Mesquite
48113013010,Dallas - Lochwood - Highland Meadows
48113013622,Dallas - Preston
48113013621,Dallas - Preston
48113018137,Garland - South
48113018138,Garland - South
48113018140,Rowlett
48113019042,Garland - North
48113019050,Garland - North
48113019052,Richardson - North
48113019053,Richardson - North
48113019039,Richardson - North
48113019213,Richardson - South
48113013726,Addison - Farmers Branch
48113001703,Dallas - Uptown
48113019212,Richardson - South
48121020118,Aubrey
48121021528,Frisco
48121021535,Aubrey
48121021537,Aubrey
48121020130,Aubrey
48121020136,Aubrey
48121021641,Dallas - Far North
48121020128,Aubrey
48121020132,Frisco
48121020133,Aubrey
48113020600,Dallas - Northwest
48113020700,Carrollton - South
48113012301,Dallas - John West - Mesquite
48113012302,Dallas - John West - Mesquite
48085031003,Princeton
48085030302,McKinney - West
48085030529,McKinney - West
48085032010,Plano - East
48085031202,Princeton
48085030201,Anna - Melissa
48085031201,Princeton
48085031713,Dallas - Far North
48085030303,Celina
48085030304,Celina
48085030801,McKinney - East
48085030702,McKinney - East
48085030701,McKinney - East
48085030605,McKinney - West
48085030531,McKinney - West
48085030525,McKinney - West
48085030516,McKinney - West
48085030511,Frisco
48085031411,Allen
48085030510,Frisco
48085030507,Frisco
48085030509,Frisco
48085031711,Dallas - Far North
48085031657,Plano - West
48085031660,Plano - West
48085032008,Plano - East
48085031629,Plano - West
48085030505,Frisco
48085031661,Plano - West
48085031408,Allen
48085031508,Allen
48085032013,Plano - East
48085031654,Plano - West
48085031655,Plano - West
48085031807,Plano - West
48085031664,Plano - West
48085031663,Plano - West
48147950401,Fannin County
48147950402,Fannin County
48147950800,Fannin County
48085031716,Dallas - Far North
48085031715,Dallas - Far North
48085031720,Dallas - Far North
48085031719,Dallas - Far North
48085031806,Richardson - North
48085030301,McKinney - West
