GEOID,Submarket
48113016638,DeSoto
48397040508,Rockwall
48397040412,Rockwall
48397040408,Rockwall
48397040410,Rockwall
48397040511,Rockwall
48397040510,Rockwall
48397040507,Rockwall
48397040411,Rockwall
48397040514,Rockwall
48397040409,Rockwall
48397040513,Rockwall
48397040509,Rockwall
48257051301,Kaufman
48257050215,Forney
48257050602,Terrell
48257050213,Forney
48257050801,Kaufman
48257050802,Kaufman
48257051302,Kaufman
48257050208,Forney
48257050211,Forney
48257050402,Terrell
48113016513,Duncanville
48113016517,Duncanville
48113016518,Duncanville
48139060704,Midlothian
48113016519,Duncanville
48113016607,Dallas - Oak Cliff South
48113016610,DeSoto
48257050212,Forney
48257050601,Terrell
48113015306,Irving - South
48113015403,Grand Prairie - North
48113015404,Grand Prairie - North
48113015500,Grand Prairie - North
48113015600,Grand Prairie - North
48113017605,Dallas - East
48231961600,Greenville
48113011701,Dallas - East
48113011702,Dallas - East
48113012000,Dallas - East
48113012206,Dallas - East
48113012207,Dallas - East
48113010704,Dallas - Oak Cliff North
48213950301,Athens
48213951102,Athens
48213950802,Mabank
48213951401,Henderson County - East
48213950202,Henderson County - East
48213950303,Athens
48213951402,Henderson County - East
48213950102,Henderson County - East
48213950201,Henderson County - East
48213951403,Henderson County - East
48213950904,Mabank
48213951201,Athens
48213950604,Mabank
48213951101,Athens
48213950801,Mabank
48213950905,Mabank
48213950302,Athens
48213950101,Henderson County - East
48213951202,Athens
48213950603,Mabank
48113016407,Grand Prairie - South
48113009105,Dallas - East
48113014121,Coppell
48113004201,Dallas - Oak Cliff East
48113017102,Seagoville
48113011105,Dallas - Oak Cliff South
48113005901,Dallas - Cedar Crest
48113006001,Dallas - Oak Cliff Central
48113006002,Dallas - Oak Cliff Central
48113006200,Dallas - Oak Cliff East
48113006301,Dallas - Oak Cliff Central
48113006302,Dallas - Oak Cliff Central
48113006501,Dallas - Oak Cliff North
48113006502,Dallas - Oak Cliff Central
48113011300,Dallas - Cedar Crest
48113016903,Wilmer
48113016617,DeSoto
48113008703,Dallas - Cedar Crest
48113014002,Farmers Branch
48113014124,Irving - Las Colinas
48113014209,Irving - Las Colinas
48113015304,Grand Prairie - North
48113016406,Grand Prairie - South
