GEOID,Submarket
08035014300,Highlands Ranch
08035014107,Highlands Ranch
08035013904,Parker - Lone Tree
08035014503,Castle Rock
08035014108,Highlands Ranch
08035013909,Castle Rock
08035014115,Parker - Lone Tree
08035014116,Parker - Lone Tree
08035014123,Castle Rock
08035013905,Parker - Lone Tree
08035014146,Highlands Ranch
08014030200,Broomfield
08035014504,Castle Rock
08005007103,Aurora - Northeast
08005080500,Aurora - South
08005083900,Aurora - South
08013013703,Boulder
08013013705,Boulder
08013013706,Boulder
08059009901,Golden
08059010001,Golden
08013012206,Boulder
08013012107,Boulder
08013013214,Longmont
08013013215,Longmont
08035013912,Parker - Lone Tree
08035013913,Parker - Lone Tree
08035014144,Highlands Ranch
08035014142,Castle Rock
08035014141,Castle Rock
08035013914,Parker - Lone Tree
08035013915,Parker - Lone Tree
08035014143,Highlands Ranch
08035014410,Castle Rock
08035014407,Castle Rock
08035014017,Castle Rock
08035014409,Castle Rock
08035014206,Highlands Ranch
08035014408,Castle Rock
08035014207,Highlands Ranch
08035014208,Highlands Ranch
08035014145,Highlands Ranch
08035014205,Highlands Ranch
08013012205,Boulder
08035014015,Centennial - East
08035014014,Centennial - East
08035014016,Castle Rock
08013013704,Boulder
08013060801,Lafayette - Louisville
08013012802,Lafayette - Louisville
08013060601,Lafayette - Louisville
08013060602,Lafayette - Louisville
08013012207,Boulder
08013012208,Boulder
08013012801,Lafayette - Louisville
08013060802,Lafayette - Louisville
08013012106,Boulder
08013012610,Boulder
08013012609,Boulder
08069001812,Loveland
08069001714,Loveland
08069002403,Fort Collins - North
08069001904,Loveland
08069001905,Loveland
08069002505,Fort Collins - South
08069001713,Loveland
08069001710,Loveland
08069001711,Loveland
08001008561,Thornton
08069001810,Loveland
08001008553,Brighton
08001060002,Thornton
08001008552,Brighton
08001008354,Denver - Airport
08001008557,Brighton
08001008556,Brighton
08069002506,Fort Collins - South
08001008560,Thornton
08001008355,Aurora - Central
08001060001,Broomfield
08001008555,Thornton
08001008554,Thornton
08001008558,Brighton
08001008559,Brighton
08001008562,Brighton
08001009004,Thornton
08001008564,Brighton
08001008563,Brighton
08001009003,Thornton
08001008565,Brighton
08069001813,Fort Collins - South
08069002507,Fort Collins - North
08069002504,Fort Collins - North
08069002508,Fort Collins - North
08069002602,Loveland
08069002404,Fort Collins - North
08069002804,Loveland
08069002805,Loveland
08069001712,Loveland
08069001715,Loveland
08069002601,Loveland
08069001811,Loveland
08035013907,Parker - Lone Tree
08035014602,Castle Rock
08014030800,Broomfield
08014031300,Broomfield
08013013004,Lafayette - Louisville
08001009604,Westminster
08031002101,Denver - Central
08013013503,Longmont
08013012104,Boulder
08013012101,Boulder
08013012105,Boulder
08013012204,Boulder
08013012300,Boulder
08013012501,Boulder
08013012505,Boulder
08013012507,Boulder
08013012508,Boulder
08013012509,Boulder
08013012511,Boulder
08013012603,Boulder
08013012701,Boulder
08014031401,Broomfield
08014031201,Broomfield
08014031202,Broomfield
08014031102,Broomfield
08014031104,Broomfield
08014031402,Broomfield
08014031101,Broomfield
08014031403,Broomfield
08014031103,Westminster
08013012705,Boulder
08013012708,Boulder
08013012709,Lafayette - Louisville
08013012903,Lafayette - Louisville
08013012904,Lafayette - Louisville
08013012905,Lafayette - Louisville
08013060900,Lafayette - Louisville
08013012907,Lafayette - Louisville
08013013003,Lafayette - Louisville
08031004404,Denver - Northeast
08031004403,Denver - Northeast
08013013005,Lafayette - Louisville
08013013006,Lafayette - Louisville
08013013205,Longmont
08013013207,Longmont
08031003701,Denver - City Park - Cherry Creek
08031003702,Denver - City Park - Cherry Creek
08031003703,Denver - City Park - Cherry Creek
08031003901,Denver - City Park - Cherry Creek
08031004102,Denver - Northeast
08031004103,Denver - Northeast
08031004104,Denver - Northeast
08005082300,Aurora - South
08005080800,Aurora - South
08005006502,Littleton
08005082600,Aurora - Northeast
08005005628,Centennial - West
08005006711,Centennial - West
08001009603,Westminster
08059980700,Arvada
08059060501,Arvada
08059011807,Lakewood - East
08059011808,Lakewood - East
08059009855,Golden
08059011101,Lakewood - East
08059011102,Lakewood - East
08059011551,Lakewood - East
08059009853,Golden
08059009856,Golden
08059011552,Lakewood - East
08059009854,Golden
08059009858,Golden
08059009857,Golden
08059980800,Golden
08005005627,Centennial - West
08005081300,Aurora - South
08005084000,Aurora - South
08001009608,Westminster
08001009607,Westminster
08014030500,Broomfield
08014031000,Broomfield
08005081200,Aurora - South
08005007101,Aurora - Northeast
08005007500,Aurora - Central
08005005551,Denver - Southwest
08005005630,Centennial - West
08005005552,Englewood
08005005553,Englewood
08005005611,Centennial - West
08005005612,Englewood
08005005614,Centennial - West
08005005619,Littleton
08005005620,Littleton
08001009553,Westminster
08005005621,Littleton
08005005622,Littleton
08005005624,Littleton
08005005625,Littleton
08005005626,Centennial - West
08005005629,Centennial - West
08005084700,Aurora - South
08005083400,Aurora - Northeast
08005005631,Centennial - West
08005007703,Aurora - Central
08013013202,Longmont
08013012401,Boulder
08013012510,Boulder
08031004110,Denver - Northeast
08031004108,Denver - Northeast
08031012016,Ken Caryl
08031003501,Denver - North
08031004308,Denver - City Park - Cherry Creek
08031004309,Denver - East
08031001705,Denver - Downtown
08031001602,Denver - Five Points - Uptown
08031001703,Denver - Downtown
08031980200,Denver - Downtown
08031001707,Denver - Downtown
08031004307,Denver - City Park - Cherry Creek
08031002704,Denver - Central
08031002706,Denver - Central
08031002804,Denver - Central
08031002102,Denver - Central
08031000704,Denver - West
08031004310,Denver - East
08031001601,Denver - Five Points - Uptown
08031001603,Denver - Five Points - Uptown
08031001704,Denver - Downtown
08031005003,Denver - East
08031004112,Denver - Northeast
08031001706,Denver - Downtown
08031002405,Denver - Five Points - Uptown
08031004109,Denver - Northeast
08031004111,Denver - Northeast
08031004113,Denver - Northeast
08031005004,Denver - East
08031006903,Denver - East
08031006902,Denver - East
08031002604,Denver - Five Points - Uptown
08031004407,Denver - East
08031003005,Denver - South
08031002705,Denver - Central
08031004406,Denver - East
08031002707,Denver - Central
08031002404,Denver - Five Points - Uptown
08031003502,Denver - North
08031012015,Ken Caryl
08031002805,Denver - Central
08031003801,Denver - City Park - Cherry Creek
08031000503,Denver - West
08031015500,Glendale
08031000703,Denver - West
08031002708,Denver - Central
08031002709,Denver - Central
08031003205,Denver - City Park - Cherry Creek
08031003204,Denver - City Park - Cherry Creek
08031003006,Denver - South
08031000705,Denver - West
08031000504,Denver - West
08031000404,Denver - West
08031000403,Denver - West
08031003802,Denver - City Park - Cherry Creek
08031000706,Denver - West
08031006818,Denver - Southeast
08031006815,Denver - Southeast
08031006816,Denver - Southeast
08031007091,Denver - East
08031015800,Denver - Airport
08031007090,Denver - East
08031002603,Denver - Five Points - Uptown
08031980001,Denver - Airport
08031006817,Denver - Southeast
08031004602,Denver - Southwest
08031004603,Denver - Southwest
08031004700,Denver - Southwest
08001008551,Thornton
08123000600,Greeley - East
08123000701,Greeley - East
08123000800,Greeley - East
08123000900,Greeley - East
08001008535,Brighton
08001008540,Thornton
08123001201,Greeley - East
08001007801,Aurora - Central
08123001300,Greeley - East
08014980200,Lafayette - Louisville
08001009326,Westminster
08123001202,Greeley - East
08123001404,Greeley - West
08123000100,Greeley - East
08014030600,Broomfield
08123002105,Weld County - South
08123001914,Weld County - South
08123001910,Weld County - South
08123001911,Weld County - South
08123001909,Weld County - South
08123002108,Weld County - South
08123002106,Weld County - South
08123002104,Weld County - South
08123002107,Windsor
08123001912,Weld County - South
08123001913,Weld County - South
08005006501,Littleton
08005006857,Centennial - East
08031980100,Denver - Northeast
08069000201,Fort Collins - Central
08069000503,Fort Collins - Central
08069001308,Fort Collins - North
08069002010,Loveland
08069001808,Loveland
08069002801,Loveland
08069002503,Fort Collins - North
08014030700,Broomfield
08014030400,Broomfield
08031003202,Denver - City Park - Cherry Creek
08031003203,Denver - City Park - Cherry Creek
08031003300,Denver - City Park - Cherry Creek
08031003401,Denver - City Park - Cherry Creek
08014030100,Broomfield
08014030000,Broomfield
08014030300,Broomfield
08031004601,Denver - Southwest
08013060700,Lafayette - Louisville
08005007702,Aurora - Central
08005007704,Aurora - Central
08031003402,Denver - City Park - Cherry Creek
08031003602,Denver - North
08013013302,Longmont
08013013305,Longmont
08013013307,Longmont
08013013308,Longmont
08013013401,Longmont
08013013208,Longmont
08013013210,Longmont
08013013211,Longmont
08013013402,Longmont
08013012103,Boulder
08013012710,Lafayette - Louisville
08013012707,Lafayette - Louisville
08013012605,Boulder
08013012201,Boulder
08013013201,Longmont
08013013601,Longmont
08013013602,Boulder
08013013306,Longmont
08031004801,Denver - Southwest
08031005001,Denver - East
08069000600,Fort Collins - Central
08069000700,Fort Collins - Central
08069000300,Fort Collins - Central
08069000901,Fort Collins - Central
08069000902,Fort Collins - Central
08069001004,Fort Collins - South
08069001007,Fort Collins - South
08069001008,Fort Collins - South
08069002700,Loveland
08069001902,Loveland
08069001003,Fort Collins - South
08069001301,Fort Collins - North
08123002207,Windsor
08069001109,Fort Collins - South
08069001009,Fort Collins - South
08069001010,Fort Collins - South
08069001104,Fort Collins - South
08069001106,Fort Collins - South
08069001107,Fort Collins - South
08069001110,Fort Collins - Central
08069001111,Fort Collins - Central
08035014133,Highlands Ranch
08069002300,Fort Collins - South
08069001112,Fort Collins - South
08069001113,Fort Collins - South
08069001114,Fort Collins - South
08069001304,Fort Collins - North
08069001305,Fort Collins - North
08069001306,Fort Collins - Central
08069001601,Fort Collins - Central
08069001708,Fort Collins - South
08069001602,Fort Collins - South
08069001706,Loveland
08069001707,Loveland
08069000100,Fort Collins - Central
08069001804,Loveland
08069001807,Loveland
08069001901,Loveland
08123001412,Greeley - West
08123001409,Greeley - West
08123001415,Greeley - West
08123002008,Weld County - South
08123002016,Weld County - South
08123001413,Greeley - West
08123000704,Greeley - East
08123002020,Weld County - South
08123002021,Weld County - South
08123001905,Weld County - South
08123002011,Weld County - South
08123002015,Weld County - South
08123002017,Weld County - South
08123002204,Windsor
08123002205,Windsor
08123002206,Windsor
08123002210,Windsor
08123001003,Greeley - East
08123001414,Greeley - West
08123002012,Weld County - South
08123002208,Windsor
08123001906,Weld County - South
08123002010,Weld County - South
08001008533,Thornton
08001008534,Thornton
08001008603,Brighton
08001008604,Brighton
08001008605,Brighton
08001008606,Brighton
08031008388,Denver - Airport
08123001005,Greeley - East
08001009309,Westminster
08001008705,Commerce City
08001008901,Commerce City
08001009321,Westminster
08001008402,Brighton
08001007900,Aurora - Central
08001008401,Brighton
08001008802,Commerce City
08001009103,Thornton
08001009408,Westminster
08001009606,Westminster
08001988700,Denver - Airport
08001008706,Commerce City
08001008801,Commerce City
08001009001,Thornton
08001009101,Thornton
08001009104,Thornton
08001009202,Thornton
08001009203,Thornton
08001009204,Thornton
08001009304,Westminster
08001009306,Westminster
08001009307,Westminster
08001009308,Westminster
08059009815,Arvada
08001009310,Westminster
08001009316,Westminster
08001009318,Westminster
08001009319,Westminster
08035014005,Parker - Lone Tree
08059011728,Lakewood - West
08059011729,Lakewood - West
08059011730,Lakewood - West
08059011731,Lakewood - West
08123001600,Greeley - East
08123000200,Greeley - East
08123002502,Weld County - South
08123001500,Greeley - East
08123000502,Greeley - East
08123002300,Windsor
08123001700,Weld County - South
08123002501,Windsor
08123001800,Weld County - South
08123001100,Greeley - East
08031000201,Denver - North
08031003003,Denver - South
08031004201,Denver - City Park - Cherry Creek
08031007006,Denver - Southeast
08031012010,Ken Caryl
08031000303,Denver - West
08059011803,Lakewood - East
08059011804,Lakewood - East
08059011951,Lakewood - East
08031003902,Denver - City Park - Cherry Creek
08031004002,Denver - South
08031004003,Denver - South
08031004004,Denver - Southeast
08059012023,Ken Caryl
08059012024,Ken Caryl
08031004202,Denver - Northeast
08031004302,Denver - City Park - Cherry Creek
08031004005,Denver - South
08031004006,Denver - South
08031004101,Denver - Northeast
08031004303,Denver - City Park - Cherry Creek
08059012038,Ken Caryl
08059012039,Ken Caryl
08059012041,Ken Caryl
08059012043,Ken Caryl
08031000800,Denver - West
08031000902,Denver - Southwest
08031000903,Denver - Southwest
08059012046,Ken Caryl
08059012047,Ken Caryl
08059012048,Ken Caryl
08059012049,Ken Caryl
08059012051,Ken Caryl
08059012053,Ken Caryl
08059012054,Ken Caryl
08059012044,Ken Caryl
08059012055,Ken Caryl
08059012057,Ken Caryl
08059012026,Golden
08059012036,Highlands Ranch
08031000905,Denver - West
08123000401,Greeley - East
08123000300,Greeley - East
08123000402,Greeley - East
08031001000,Denver - Southwest
08031001101,Denver - North
08031001102,Denver - West
08031003603,Denver - North
08059011904,Denver - Marston
08014980100,Lafayette - Louisville
08035014138,Highlands Ranch
08035014134,Highlands Ranch
08035014132,Highlands Ranch
08035014140,Parker - Lone Tree
08035013910,Parker - Lone Tree
08123002013,Weld County - South
08123000705,Greeley - East
08001061200,Thornton
08031015400,Denver - West
08005004952,Glendale
08123001406,Greeley - West
08123001405,Greeley - West
08123001006,Greeley - East
08123000703,Greeley - East
08013012608,Boulder
08013013505,Longmont
08005007400,Aurora - Central
08005007600,Aurora - Central
08059009847,Golden
08059012034,Highlands Ranch
08059009837,Arvada
08059009828,Westminster
08059012058,Highlands Ranch
08059012027,Golden
08059010403,Arvada
08059012050,Ken Caryl
08059010603,Arvada
08059012045,Ken Caryl
08059012030,Golden
08059012035,Highlands Ranch
08059009841,Arvada
08059009848,Golden
08059011702,Lakewood - East
08005007201,Aurora - Central
08005007202,Aurora - Central
08059010701,Arvada
08059012032,Golden
08059009846,Golden
