GEOID,Submarket
48439113906,Grapevine
48439113946,Fort Worth - Northeast
48439113945,Fort Worth - Northeast
48439113953,Keller
48439113955,Grapevine
48439113715,Grapevine
48439114113,Fort Worth - Northwest
48439113809,Richland Hills
48251130213,Burleson
48251130602,Cleburne
48251130212,Burleson
48251130210,Burleson
48251130304,Cleburne
48251130211,Burleson
48251130303,Cleburne
48251130214,Burleson
48439102401,Fort Worth - Central West
48439113109,Arlington - North
48367140413,Azle
48367140416,Weatherford
48367140710,Weatherford
48367140412,Azle
48367140604,Weatherford
48367140603,Weatherford
48367140713,Weatherford
48367140711,Weatherford
48367140707,Weatherford
48367140708,Weatherford
48367140709,Weatherford
48367140504,Weatherford
48367140503,Weatherford
48367140201,Weatherford
48367140202,Weatherford
48367140415,Weatherford
48367140714,Weatherford
48367140712,Weatherford
48367140414,Weatherford
48367140408,Azle
48367140102,Weatherford
48367140409,Azle
48367140101,Weatherford
48439113611,Hurst
48497150405,Wise County
48497150201,Wise County
48497150103,Wise County
48497150605,Wise County
48497150202,Wise County
48497150104,Wise County
48497150604,Wise County
48497150404,Wise County
48497150607,Wise County
48497150606,Wise County
48439105516,Fort Worth - Southwest
48439111557,Arlington - South
48439113943,Fort Worth - Northeast
48439113931,Fort Worth - Northwest
48439114012,Fort Worth - Northwest
48439113638,Bedford
48251130205,Burleson
48251131000,Cleburne
48251131100,Cleburne
48251130800,Cleburne
48439113628,Bedford
48439113629,Bedford
48439111015,Crowley
48439111025,Fort Worth - Southwest
48439111031,Fort Worth - Southwest
48439113924,Fort Worth - Northeast
48439113958,Grapevine
48439103701,Fort Worth - Central East
48439103800,Fort Worth - Central South
48439103702,Fort Worth - Central East
48439103500,Fort Worth - Central East
48439113520,Euless
48439113521,Euless
48439104900,Fort Worth - Scenic Bluff
48439113522,Euless
48439113948,Fort Worth - Northeast
48439111566,Grand Prairie
48439105408,Fort Worth - Trinity River
48439111513,Arlington - South
48439113006,Grand Prairie
48439111319,Mansfield
48439111320,Mansfield
48439113923,Fort Worth - Northeast
48439106600,Fort Worth - Lake Worth
48439106700,Fort Worth - Northwest
48439106519,Fort Worth - Woodhaven
48439113918,Fort Worth - Northeast
48439113920,Fort Worth - Northeast
48439113936,Fort Worth - Northeast
48439104602,Fort Worth - Central South
48439104604,Fort Worth - Central South
48439104100,Fort Worth - Medical District
48439106521,Fort Worth - East
48439123301,Fort Worth - Central
48439106524,Fort Worth - Trinity
48439113934,Fort Worth - Northeast
48439113223,Richland Hills
48439104400,Fort Worth - Central South
48439104504,Fort Worth - Central South
48439104505,Fort Worth - Central South
48439104601,Fort Worth - Central East
48439111516,Arlington - South
48439104603,Fort Worth - Central South
48439111505,Arlington - West
48439113947,Fort Worth - Northeast
48439113957,Grapevine
48439113636,Grapevine
48439113949,Fort Worth - Northeast
48439113514,Euless
48439106512,Fort Worth - East
48439106513,Fort Worth - East
48439106514,Fort Worth - East
48439106515,Fort Worth - Woodhaven
48439104605,Fort Worth - Central South
48439114108,Fort Worth - Northwest
48439104202,Fort Worth - University
48439111316,Arlington - South
48439111021,Crowley
48439111027,Fort Worth - Southeast
48439111026,Fort Worth - Southwest
48439113120,Arlington - North
48439113119,Arlington - North
48439113122,Arlington - North
48439105407,Fort Worth - Trinity River
48439113121,Arlington - North
48439113935,Fort Worth - Northeast
48439114107,Fort Worth - Northwest
48439104204,Fort Worth - University
48439104203,Fort Worth - University
48439100401,Fort Worth - Central North
48439113409,Hurst
48439105204,Fort Worth - Western Hills
48439105404,Fort Worth - University
48439105405,Fort Worth - Trinity River
48439105502,Fort Worth - Southwest
48439111514,Arlington - South
48439105503,Fort Worth - Southwest
48439105505,Fort Worth - Southwest
48439105511,Fort Worth - Southwest
48439105512,Fort Worth - Southwest
48439105600,Fort Worth - Central South
48439105701,Fort Worth - Southwest
48439105703,Fort Worth - Southwest
48439105800,Fort Worth - Southwest
48439111304,Mansfield
48439106101,Fort Worth - Central South
48439106102,Fort Worth - Central South
48439106201,Fort Worth - Central East
48439106202,Fort Worth - Central East
48439106300,Fort Worth - Central East
48439106502,Fort Worth - Central East
48439106503,Fort Worth - East
