GEOID,submarket
45087030402,Union
45087030401,Union
45047970602,Greenwood
45047970303,Greenwood
45047970304,Greenwood
45059920301,Laurens
45059920501,Laurens
45059920201,Laurens
45059921002,Laurens
45059920102,Laurens
45047970401,Greenwood
45047970601,Greenwood
45047970802,Greenwood
45047970801,Greenwood
45047970402,Greenwood
45001950401,Abbeville
45073030904,Oconee
45073030202,Oconee
45073030302,Oconee
45007010502,Anderson
45001950402,Abbeville
45073030903,Oconee
45073030201,Oconee
45073030801,Oconee
45073030802,Oconee
45073030301,Oconee
45073030403,Oconee
45073030404,Oconee
45007010107,Anderson
45007010406,Anderson
45007010601,Anderson
45007011204,Anderson
45007010106,Anderson
45007011701,Anderson
45007011501,Anderson
45007010702,Anderson
45007010602,Anderson
45007011301,Anderson
45007010108,Anderson
45007010404,Anderson
45007011702,Anderson
45007011302,Anderson
45007010403,Anderson
45007010501,Anderson
45007010405,Anderson
45007011203,Anderson
45007010105,Anderson
45007011502,Anderson
45007010701,Anderson
45007000702,Anderson
45007000701,Anderson
45083022408,Boiling Springs
45083023406,Duncan
45083023806,Spartanburg_South
45083023602,Spartanburg_South
45083023601,Spartanburg_South
45083023104,Duncan
45083022306,Spartanburg_North
45083022805,Duncan
45083023902,Spartanburg_South
45083021805,Saxon
45083022901,Boiling Springs
45083022702,Boiling Springs
45083022902,Boiling Springs
45083022701,Boiling Springs
45083022804,Boiling Springs
45083022407,Boiling Springs
45083022803,Boiling Springs
45083022411,Spartanburg_North
45083022410,Spartanburg_North
45083022305,Spartanburg_North
45083023004,Duncan
45083023805,Spartanburg_South
45083023408,Spartanburg_West
45083023901,Spartanburg_South
45083023003,Duncan
45083022806,Duncan
45083021806,Saxon
45083021904,Arcadia
45083023804,Spartanburg_South
45083023409,Spartanburg_West
45083023803,Spartanburg_South
45077010301,Pickens
45083021903,Fairforest
45083023407,Duncan
45083022409,Spartanburg_North
45083023103,Duncan
45077010904,Easley
45077011206,Clemson
45077010806,Easley
45077010302,Pickens
45077010202,Pickens
45077010405,Pickens
45077011004,Pickens
45077010603,Easley
45077010201,Pickens
45077011207,Clemson
45077010404,Pickens
45077010805,Easley
45077011005,Pickens
45077011104,Clemson
