GEOID,Submarket
48167720501,League City - west
48167722002,Texas City/San Leon
48167720301,Pearland/Friendswood
48201323701,South Houston - Crenshaw Park
48201241103,Spring
48167722001,Texas City/San Leon
48167726200,Texas City/San Leon
48201212300,East End
48201212400,East End
48201250701,Atascocita
48201250702,Atascocita
48201251503,Kingwood
48201251402,Kingwood
48201251902,Atascocita
48201320602,William P Hobby Airport
48201321401,South Houston
48201323702,South Houston - Crenshaw Park
48201340203,Nassau Bay/Seabrook
48201342002,Deer Park
48039660705,Clear Creek
48039660609,Clear Creek
48039661902,Northwest Brazoria County
48039660806,Clear Creek
48039660608,Clear Creek
48039660610,Clear Creek
48039660704,Clear Creek
48039660501,Clear Creek
48039660503,Clear Creek
48039660804,Clear Creek
48201331602,Pierce Junction
48201320601,William P Hobby Airport
48201350601,Pearland/Friendswood
48201223001,Mount Houston
48201334003,William P Hobby Airport
48201343301,Deer Park
48201341501,Nassau Bay/Seabrook
48201341502,Nassau Bay/Seabrook
48201340302,Nassau Bay/Seabrook
48339692004,The Woodlands - east
48339693402,Conroe - east
48339692603,Porter
48339692010,Spring
48339692303,Porter
48339692502,Porter
48339691801,The Woodlands - east
48339691802,The Woodlands - east
48339692604,Porter
48201334001,William P Hobby Airport
48201222402,Mount Houston
48201251501,Kingwood
48201222501,Mount Houston
48201222401,Mount Houston
48201341302,Nassau Bay/Seabrook
48201350801,Pearland/Friendswood
48201341201,Nassau Bay/Seabrook
48201233701,Cloverleaf
48201233703,Cloverleaf
48201222502,Mount Houston
48039663400,Lake Jackson - Clute
48039663500,Lake Jackson - Clute
48039663600,Lake Jackson - Clute
48039663700,Lake Jackson - Clute
48201333905,William P Hobby Airport
48201232304,Mount Houston
48201311702,GreaterThird Ward
48201221502,Mount Houston
48201250202,Atascocita
48201241202,Spring
48201313201,GreaterThird Ward
48201250101,Atascocita
48201980400,GreaterThird Ward
48201333100,William P Hobby Airport
48201350300,Pearland/Friendswood
48201350400,Pearland/Friendswood
48201350500,Pearland/Friendswood
48201980000,William P Hobby Airport
48201333600,William P Hobby Airport
48201333700,William P Hobby Airport
48291700400,Cleveland
48291700900,Dayton
48291700500,Cleveland
48201333301,William P Hobby Airport
48201320901,South Houston
48201241501,Humble/Westfield
48201240704,Humble/Westfield
48201253601,Baytown
48201253102,Baytown
48201341101,Nassau Bay/Seabrook
48201350603,Pearland/Friendswood
48201222601,Mount Houston
48201250408,Atascocita
48201222602,Mount Houston
48291700600,Cleveland
48291701400,Dayton
48291701200,Dayton
48291701000,Dayton
48291700100,Cleveland
48291700200,Cleveland
48291701300,Dayton
48291700700,Cleveland
48291701100,Dayton
48471790401,Huntsville
48471790301,Huntsville
48471790402,Huntsville
48471790302,Huntsville
48201232303,Mount Houston
48201232202,Mount Houston
48201342802,Deer Park
48201232305,Mount Houston
48201321302,South Houston
48201221702,Mount Houston
48201221602,Mount Houston
48201222505,Mount Houston
48201333802,William P Hobby Airport
48291700301,Cleveland
48291700302,Cleveland
48291700801,Dayton
48291700303,Cleveland
48291700802,Dayton
48201233200,Cloverleaf
48201233400,Cloverleaf
48201311100,East End
48201311300,East End
48201311400,East End
48201233600,Cloverleaf
48167720400,Pearland/Friendswood
48167720900,League City/Dickenson
48201311600,East End
48201240600,Humble/Westfield
48407200107,San Jacinto County
48201311800,GreaterThird Ward
48201311900,GreaterThird Ward
48201312000,GreaterThird Ward
48201252100,Atascocita
48201253000,Baytown
48201312200,GreaterThird Ward
48201312400,GreaterThird Ward
48167721000,League City/Dickenson
48039660805,Clear Creek
48039660613,Northwest Brazoria County
48039660504,Clear Creek
48039660707,Clear Creek
48039661901,Northwest Brazoria County
48039660708,Clear Creek
48039660615,Northwest Brazoria County
48039660901,Alvin
48039660614,Northwest Brazoria County
48039660902,Alvin
48039660706,Clear Creek
48039660303,Pearland/Friendswood
48039660703,Clear Creek
48039660301,Pearland/Friendswood
48039660302,Pearland/Friendswood
48039660502,Clear Creek
48039660402,Pearland/Friendswood
48039660403,Pearland/Friendswood
48039660401,Pearland/Friendswood
48039660803,Clear Creek
48201312700,GreaterThird Ward
48201312800,GreaterThird Ward
48201313300,GreaterThird Ward
48167721103,League City/Dickenson
48167721503,Nassau Bay/Seabrook
48167720605,League City - west
48167720701,League City/Dickenson
48167720507,League City - west
48167720504,League City - west
48167720601,League City - west
48167720506,League City - west
48167721502,Nassau Bay/Seabrook
48167721401,Nassau Bay/Seabrook
48167721210,League City/Dickenson
48167720603,League City - west
48167721702,League City/Dickenson
48167721209,League City/Dickenson
48167723401,League City - west
48167721204,League City/Dickenson
48167721902,Texas City/San Leon
48167721203,League City/Dickenson
48167721102,League City/Dickenson
48167723504,League City - west
48167723402,League City - west
48167721101,League City/Dickenson
48167720505,League City - west
48167721701,League City/Dickenson
48167721703,League City/Dickenson
48167720702,League City/Dickenson
48167721402,Nassau Bay/Seabrook
48167721501,Nassau Bay/Seabrook
48167723503,League City - west
48167723505,League City - west
48167723403,League City - west
48167721901,Texas City/San Leon
48201323900,Pasadena
48201324000,South Houston - Crenshaw Park
48201350202,Pearland/Friendswood
48201350201,Pearland/Friendswood
48201321101,South Houston
48201320500,William P Hobby Airport
48201320700,William P Hobby Airport
48201320800,South Houston
48201321200,South Houston
48201321500,South Houston
48201321600,South Houston
48201331100,Pierce Junction
48201331200,Pierce Junction
48201331300,Pierce Junction
48201331400,Pierce Junction
48201321700,William P Hobby Airport
48201321900,Pasadena
48201322000,Pasadena
48201322100,Pasadena
48201322200,Pasadena
48201331700,Pierce Junction
48201331800,Pierce Junction
48201331900,Pierce Junction
48201332100,Pierce Junction
48201332200,Pierce Junction
48201332400,Pierce Junction
48201332500,William P Hobby Airport
48201322800,Pasadena
48201340502,Nassau Bay/Seabrook
48201340102,Nassau Bay/Seabrook
48201340101,Nassau Bay/Seabrook
48201310102,East End
48201322900,Pasadena
48201323000,Pasadena
48201323100,Pasadena
48201323200,Pasadena
48201323300,Pasadena
48201323400,Pasadena
48201323500,South Houston
48201340600,Nassau Bay/Seabrook
48201340800,Nassau Bay/Seabrook
48201240905,Humble/Westfield
48201250304,Atascocita
48201250602,Humble/Westfield
48201241301,Spring
48201341800,La Porte
48201342100,Deer Park
48201342200,Deer Park
48201342300,Deer Park
48201342400,Deer Park
48201342500,Deer Park
48201342700,Deer Park
48201343000,Deer Park
48201343200,Deer Park
48201332600,William P Hobby Airport
48407200105,San Jacinto County
48407200202,San Jacinto County
48407200201,San Jacinto County
48407200103,San Jacinto County
48407200104,San Jacinto County
48407200106,San Jacinto County
48407200302,San Jacinto County
48407200301,San Jacinto County
48339693002,Conroe - east
48201332700,William P Hobby Airport
48201332800,William P Hobby Airport
48201333000,William P Hobby Airport
48071710202,Outlying Chambers County
48071710201,Baytown
48201341002,Nassau Bay/Seabrook
48201310101,East End
48201311001,East End
48201233502,Cloverleaf
48201211302,East End
48201340702,Nassau Bay/Seabrook
48201340501,Nassau Bay/Seabrook
48201341303,Nassau Bay/Seabrook
48201252306,Cloverleaf
48167721207,League City/Dickenson
48167721206,League City/Dickenson
48167720509,League City - west
48167721403,Nassau Bay/Seabrook
48167721302,Nassau Bay/Seabrook
48167721301,Nassau Bay/Seabrook
48167720703,League City/Dickenson
48167721208,League City/Dickenson
48167720511,League City - west
48167720602,League City - west
48167720510,League City - west
48167720512,League City - west
48167721211,League City/Dickenson
48167720604,League City - west
48167720508,League City - west
48167721205,League City/Dickenson
48201323601,South Houston
48167722100,Texas City/San Leon
48167722300,Texas City/San Leon
48167722600,Texas City/San Leon
48167722700,Texas City/San Leon
48039661100,Alvin
48039663300,Lake Jackson - Clute
48201331604,Pierce Junction
48201331502,Pierce Junction
48201240506,Humble/Westfield
48039662900,Brazoria County - West
48039662800,Brazoria County - West
48039662500,Lake Jackson - Clute
48039664100,Angleton
48039664000,Lake Jackson - Clute
48039660100,Pearland/Friendswood
48039662200,Angleton
48039662400,Angleton
48039661200,Alvin
48039661000,Alvin
48039663100,Lake Jackson - Clute
48039662000,Brazoria County - West
48039664400,Freeport
48039661300,Alvin
48039661400,Alvin
48039662100,Angleton
48039662300,Angleton
48039662700,Brazoria County - West
48039663000,Brazoria County - West
48039663200,Lake Jackson - Clute
48339692900,Porter
48201240504,Humble/Westfield
48201240102,Humble/Westfield
48201250404,Atascocita
48201333904,William P Hobby Airport
48201252304,Cloverleaf
48201252003,Atascocita
48201233104,Cloverleaf
48471790200,Huntsville
48471790500,Huntsville
48201324101,Pasadena
48201343601,Deer Park
48201343602,La Porte
48201340201,Nassau Bay/Seabrook
48201324102,Pasadena
48201340202,Nassau Bay/Seabrook
48201324200,Cloverleaf
48039664300,Freeport
48039662600,Brazoria County - West
48039664501,Freeport
48039661700,Angleton
48039661800,Northwest Brazoria County
48339693102,Conroe - east
48201233105,Cloverleaf
48201252201,Cloverleaf
48201232404,Cloverleaf
48201232203,Mount Houston
48201232306,Mount Houston
48201221701,Mount Houston
48201330801,Pierce Junction
48201333502,William P Hobby Airport
48201321301,South Houston
48201321102,South Houston
48201321002,South Houston
48201333903,William P Hobby Airport
48201221301,Mount Houston
48201350102,Pearland/Friendswood
48201240804,Humble/Westfield
48201241302,Spring
48201250305,Atascocita
48201250901,Kingwood
48201240903,Humble/Westfield
48201240904,Humble/Westfield
48201241104,Spring
48201241001,Spring
48201350804,Pearland/Friendswood
48201252001,Atascocita
48201250405,Atascocita
48201250303,Atascocita
48201250201,Atascocita
48201240703,Humble/Westfield
48201240101,Humble/Westfield
48201333906,William P Hobby Airport
48201252303,Cloverleaf
48201252305,Cloverleaf
48201251505,Kingwood
48201331603,Pierce Junction
48201240705,Humble/Westfield
48201250306,Atascocita
48201241502,Humble/Westfield
48201250406,Atascocita
48201241002,Spring
48201240706,Humble/Westfield
48201250102,Atascocita
48201240906,Humble/Westfield
48201232405,Cloverleaf
48201220701,Mount Houston
48201320202,William P Hobby Airport
48201320201,William P Hobby Airport
48201313802,GreaterThird Ward
48201221302,Mount Houston
48201311501,East End
48201311502,East End
48201333203,William P Hobby Airport
48201341203,Nassau Bay/Seabrook
48201311701,GreaterThird Ward
48201313202,GreaterThird Ward
48201232901,Cloverleaf
48201232802,Cloverleaf
48201251504,Kingwood
48201253501,Baytown
48201253201,Baytown
48201253602,Baytown
48201251702,Kingwood
48201252202,Cloverleaf
48201333205,William P Hobby Airport
48201253202,Baytown
48201251904,Atascocita
48201253101,Baytown
48201252902,Baytown
48201321001,South Houston
48201240707,Humble/Westfield
48201250407,Atascocita
48201240505,Humble/Westfield
48201233501,Cloverleaf
48201323602,South Houston - Crenshaw Park
48201221501,Mount Houston
48201313801,GreaterThird Ward
48201350604,Pearland/Friendswood
