GEOID,Submarket
48157674100,Sugar Land - south
48157674200,Sugar Land - south
48201450801,Bunker Hill Village
48201454302,George Bush Park
48201451902,Royal Oaks Country Club
48201453403,Sugar Land - north
48201453601,Sugar Land - north
48201453501,Sugar Land - north
48201453502,Sugar Land - north
48201553401,Louetta
48201553801,Louetta
48157674800,Rosenberg
48157674900,Rosenberg
48157675000,Rosenberg
48157675200,Rosenberg
48157675800,Outlying Fort Bend County
48157673300,Outlying Fort Bend County
48201553403,Louetta
48201454502,Cinco Ranch - south
48157670400,Missouri City
48157670300,Missouri City
48157670700,Outlying Fort Bend County
48201455102,Cinco Ranch - south
48201511302,The Heights
48201520601,Spring Valley
48201554001,Louetta
48157675300,Rosenberg
48157675600,Outlying Fort Bend County
48157673700,Richmond
48201511001,The Heights
48201522302,Spring Valley
48201522202,Spring Valley
48201522301,Spring Valley
48201522201,Spring Valley
48201532502,Jersey Village/Salsuma
48201522500,Spring Valley
48201314001,Reliant Park
48201534001,Bammel
48201533902,Bammel
48201550603,Bammel
48039660603,Missouri City
48201550601,Bammel
48157674404,Outlying Fort Bend County
48157674403,Outlying Fort Bend County
48201552602,Jersey Village/Salsuma
48201431401,Piney Point Village - north
48201540502,Jersey Village/Salsuma
48201511301,The Heights
48201330303,Missouri City
48201551702,Jersey Village/Salsuma
48201540602,Jersey Village/Salsuma
48339694203,Conroe - west
48339694209,Conroe - west
48339694603,West Montgomery County
48339694205,Conroe - west
48339693703,Conroe - west
48339693303,Conroe - west
48339690501,The Woodlands
48339690405,Magnolia
48339690406,Magnolia
48339690403,West Montgomery County
48339690407,Magnolia
48339690205,Magnolia
48339690204,Magnolia
48339690206,Magnolia
48339690207,Magnolia
48339694308,Conroe - west
48339694501,Conroe - west
48339691202,The Woodlands
48339694303,Conroe - west
48339690702,The Woodlands
48339690203,Magnolia
48201330301,Missouri City
48201533702,Bammel
48201554501,Tomball
48201540601,Jersey Village/Salsuma
48201541203,Jersey Village/Salsuma
48201533802,Bammel
48201410401,West End/Downtown
48201431801,Piney Point Village - north
48201422702,West Bellaire
48201422701,West Bellaire
48201553002,Louetta
48201553001,Louetta
48201454505,Cinco Ranch - south
48201521502,Spring Valley
48201551602,Jersey Village/Salsuma
48201550902,Bammel
48201550404,Bammel
48201411302,Piney Point Village - north
48201510803,West End/Downtown
48201552004,Jersey Village/Salsuma
48201551902,Jersey Village/Salsuma
48201553602,Louetta
48201454303,George Bush Park
48201556100,Louetta
48201554806,Tomball
48201554803,Tomball
48201554702,Tomball
48201553102,Louetta
48201980200,West End/Downtown
48201432804,West Bellaire
48201453202,Sugar Land - north
48015760502,Austin County
48015760501,Austin County
48201420300,Missouri City
48201420500,Missouri City
48201410300,West End/Downtown
48201410900,West End/Downtown
48201420600,Missouri City
48201420700,West Bellaire
48201420900,West Bellaire
48473680100,Brookshire
48201411100,West End/Downtown
48201411200,West End/Downtown
48201411400,West End/Downtown
48201421000,West Bellaire
48201432200,Piney Point Village - south
48201521800,Spring Valley
48201521900,Spring Valley
48201530300,Rosslyn
48201455000,Cinco Ranch - south
48201530400,Rosslyn
48201455200,Cinco Ranch - south
48201455300,Katy
48201530800,Rosslyn
48201531500,Rosslyn
48201531600,Rosslyn
48201531700,Rosslyn
48201531800,Rosslyn
48201531900,Rosslyn
48201510100,West End/Downtown
48201510400,The Heights
48201510500,The Heights
48201532600,Bammel
48201530900,Rosslyn
48201531100,Rosslyn
48201531300,Rosslyn
48201531400,Rosslyn
48201532400,Jersey Village/Salsuma
48201452900,Sugar Land - north
48201453100,Sugar Land - north
48201530600,Rosslyn
48201453300,Sugar Land - north
48201511600,The Heights
