GEOID,Submarket
12109021408,St Augustine
12109020603,Ponte Vedra Beach
12109020808,St Johns
12109020606,Ponte Vedra Beach
12109020903,St Augustine
12109021207,St Augustine
12109020906,St Augustine
12109020904,St Johns
12109021208,St Augustine
12109020810,St Johns
12109020811,St Johns
12109020604,Ponte Vedra Beach
12109020809,St Johns
12109021209,St Augustine
12109020905,St Augustine
12109020605,Ponte Vedra Beach
12031016102,Jacksonville - South Jacksonville
12031016101,Jacksonville - South Jacksonville
12031016606,Jacksonville - Bowden
12031015702,Jacksonville - South Jacksonville
12031016002,Jacksonville - Pineland Gardens
12031014205,Neptune Beach
12031016811,Jacksonville - Bayard
12031015927,Jacksonville - Pineland Gardens
12031014422,Jacksonville - San Pablo
12031016001,Jacksonville - Pineland Gardens
12031014426,Jacksonville - Deerwood Club
12031014421,Jacksonville - San Pablo
12031012201,Jacksonville - Cedar Hills
12031014206,Neptune Beach
12031014103,Neptune Beach
12031014428,Jacksonville - Pineland Gardens
12031014423,Jacksonville - Deerwood Club
12031013525,Jacksonville - Cedar Hills
12031014342,Jacksonville - San Pablo
12031015929,Jacksonville - Pineland Gardens
12031014420,Jacksonville - San Pablo
12031010104,Jacksonville - Oceanway
12031016812,Jacksonville - Bayard
12031014419,Jacksonville - San Pablo
12031010106,Jacksonville - Oceanway
12031016813,Jacksonville - Bayard
12031012202,Jacksonville - Cedar Hills
12031014416,Jacksonville - Southridge
12031013732,Jacksonville - Jacksonville Heights
12031013728,Jacksonville - Jacksonville Heights
12031010601,Jacksonville - Dinsmore
12031013523,Jacksonville - Jacksonville Heights
12031010203,Jacksonville - Highlands
12031014704,Jacksonville - Newcastle
12031001401,Jacksonville - College Park-Springfield
12031014340,Jacksonville - San Pablo
12031010602,Jacksonville - Dinsmore
12031014424,Jacksonville - Deerwood Club
12031010305,Jacksonville - Highlands
12031014414,Jacksonville - Pineland Gardens
12031015806,Jacksonville - Oakwood Villa
12031016605,Jacksonville - Bowden
12031014344,Jacksonville - Southridge
12031014427,Jacksonville - Pineland Gardens
12031014415,Jacksonville - Southridge
12031015804,Jacksonville - Oakwood Villa
12031010107,Jacksonville - Oceanway
12031014417,Jacksonville - Deerwood Club
12031014425,Jacksonville - Deerwood Club
12031010105,Jacksonville - Oceanway
12031014343,Jacksonville - Southridge
12031013730,Jacksonville - Jacksonville Heights
12031010306,Jacksonville - Highlands
12031013524,Jacksonville - Jacksonville Heights
12031010503,Jacksonville - Highlands
12031013729,Jacksonville - Jacksonville Heights
12031013526,Jacksonville - Cedar Hills
12031014339,Jacksonville - San Pablo
12031014341,Jacksonville - San Pablo
12031011905,Jacksonville - Jacksonville Heights
12031013731,Jacksonville - Jacksonville Heights
12031017101,Jacksonville - San Jose
12031010307,Jacksonville - Highlands
12031010308,Jacksonville - Highlands
12031013733,Jacksonville - Jacksonville Heights
12031011904,Jacksonville - Jacksonville Heights
12031017102,Jacksonville - San Jose
12031013302,Jacksonville - Ortega Hills
12031015701,Jacksonville - South Jacksonville
