GEOID,Submarket
32003005440,Henderson
32003005362,Henderson
32003005860,Spring Valley - West
32003005112,Henderson
32003005876,Southern Clark County
32003003661,North Las Vegas - West
32003005720,Seven Hills
32003007802,Sunrise Manor - North
32003005361,Henderson
32003003267,Las Vegas - Northwest
32003005110,Green Valley
32003005858,Northern Clark County
32003005866,Enterprise
32003002901,Enterprise
32003005865,Enterprise
32003003649,Sunrise Manor - North
32003005364,Green Valley
32003005717,Seven Hills
32003001615,Sunrise Manor - South
32003001614,Sunrise Manor - South
32003002998,Spring Valley - West
32003002849,Paradise - South
32003005867,Enterprise
32003005857,Enterprise
32003005874,Spring Valley - West
32003007900,Las Vegas - Downtown
32003002850,Paradise - South
32003005114,Henderson
32003005363,Green Valley
32003005862,Enterprise
32003005441,Henderson
32003002851,Paradise - South
32003002853,Paradise - South
32003003666,North Las Vegas - West
32003005861,Enterprise
32003002902,Enterprise
32003005113,Green Valley
32003002997,Spring Valley - West
32003005721,Seven Hills
32003005365,Green Valley
32003005869,Spring Valley - West
32003003268,Las Vegas - Northwest
32003003656,North Las Vegas - West
32003003322,Las Vegas - Northwest
32003003657,North Las Vegas - West
32003003650,North Las Vegas - West
32003003651,North Las Vegas - West
32003005863,Spring Valley - West
32003005868,Enterprise
32003005871,Spring Valley - West
32003003645,North Las Vegas - West
32003003263,Las Vegas - Northwest
32003003269,Las Vegas - Northwest
32003005719,Seven Hills
32003003648,North Las Vegas - West
32003005872,Northern Clark County
32003003654,North Las Vegas - West
32003003652,North Las Vegas - West
32003005859,Spring Valley - West
32003002852,Paradise - South
32003005111,Green Valley
32003005116,Green Valley
32003003646,North Las Vegas - West
32003003655,North Las Vegas - West
32003005722,Seven Hills
32003003270,Las Vegas - Northwest
32003003665,North Las Vegas - West
32003003664,North Las Vegas - West
32003005718,Seven Hills
32003003663,North Las Vegas - West
32003003660,North Las Vegas - West
32003005877,Southern Clark County
32003003653,North Las Vegas - West
32003003658,North Las Vegas - West
32003003266,Las Vegas - Northwest
32003003647,North Las Vegas - West
32003003659,North Las Vegas - West
32003005442,Henderson
32003003264,Las Vegas - Northwest
32003003265,Las Vegas - Northwest
32003003662,North Las Vegas - West
32003005864,Spring Valley - West
32003005366,Green Valley
32003007801,Sunrise Manor - North
32003003323,Las Vegas - Northwest
32023960410,Southern Clark County
32003003307,Las Vegas - Northwest
32003003634,North Las Vegas - West
32003003635,North Las Vegas - West
32003003644,North Las Vegas - West
32003003642,North Las Vegas - West
32003005829,Enterprise
32003002981,Enterprise
32003004602,North Las Vegas - East
32003004601,North Las Vegas - East
32003005014,Whitney
32003005354,Green Valley
32003005353,Green Valley
32003005360,Henderson
32003002841,Paradise - South
32003005356,Green Valley
32003003247,Las Vegas - Summerlin
32003005905,Northern Clark County
32003005434,Henderson
32003005439,Henderson
32003005615,Northern Clark County
32003001501,Sunrise Manor - South
32003002848,Paradise - South
32003005435,Henderson
32003000528,Las Vegas - East
32003001402,Las Vegas - Downtown South
32003003431,Las Vegas - Westside
32003000107,Las Vegas - Central West
32003003430,Las Vegas - Westside
32003003616,North Las Vegas - West
32003000401,North Las Vegas - East
32003000527,Las Vegas - East
32003002995,Chinatown
32003002302,Winchester
32003005013,Whitney
32003002996,Chinatown
32003002206,Las Vegas - South
32003002207,Las Vegas - South
32003002605,Las Vegas Strip
32003004402,North Las Vegas - East
32003004301,North Las Vegas - East
32003004302,North Las Vegas - East
32003000108,Las Vegas - Central West
32003005834,Enterprise
32003005349,Green Valley
32003002846,Paradise - South
32003002844,Paradise - South
32003005346,Seven Hills
32003000402,Las Vegas - Downtown
32003002842,Paradise - South
32003002964,Spring Valley - East
32003002968,Spring Valley - East
32003002969,Spring Valley - East
32003005837,Enterprise
32003005830,Enterprise
32003005831,Enterprise
32003002838,Paradise - South
32003005845,Spring Valley - West
32003005825,Spring Valley - West
32003005849,Spring Valley - West
32003005826,Spring Valley - West
32003005903,Northern Clark County
32003005016,Whitney
32003002604,Las Vegas Strip
32003003621,North Las Vegas - West
32003003619,North Las Vegas - West
32003000520,Las Vegas - Downtown
32003000522,Las Vegas - East
32003002974,Spring Valley - West
32003002975,Spring Valley - West
32003005351,Green Valley
32003005350,Green Valley
32003004925,Sunrise Manor - South
32003005904,Northern Clark County
32003004500,North Las Vegas - East
32003004917,Sunrise Manor - North
32003004918,Sunrise Manor - South
32003004919,Sunrise Manor - South
32003004920,Sunrise Manor - South
32003004915,Sunrise Manor - South
32003004916,Sunrise Manor - North
32003005107,Green Valley
32003004921,Sunrise Manor - South
32003005108,Green Valley
32003005200,Henderson
32003005311,Green Valley
32003005312,Green Valley
32003004924,Sunrise Manor - South
32003005006,Sunrise Manor - South
32003005010,Whitney
32003004923,Sunrise Manor - South
32003005102,Green Valley
32003005103,Green Valley
32003005104,Green Valley
32003005012,Whitney
32003005316,Green Valley
32003005317,Green Valley
32003005313,Green Valley
32003005314,Green Valley
32003000201,Las Vegas - Westside
32003000203,Las Vegas - Westside
32003000204,Las Vegas - South
32003000302,Las Vegas - Westside
32003005011,Whitney
32003000519,Las Vegas - East
32003003610,North Las Vegas - West
