GEOID,Submarket
47055920301,Pulaski
47055920302,Pulaski
47099960800,Lawrenceburg
47099960900,Lawrenceburg
47099960300,Lawrenceburg
47099960200,Lawrenceburg
47119010600,Columbia
47119010100,Spring Hill
47099960700,Lawrenceburg
47099960100,Lawrenceburg
47099960600,Lawrenceburg
47041920201,McMinnville - Smithville
47041920202,McMinnville - Smithville
47119010500,Columbia
47119011200,Columbia
47119010900,Columbia
47141000202,Cookeville
47141000305,Cookeville
47141001201,Cookeville
47141000304,Cookeville
47141000201,Cookeville
47141001202,Cookeville
47085130200,Waverly - Erin
47085130500,Waverly - Erin
47085130300,Waverly - Erin
47085130100,Waverly - Erin
47085130400,Waverly - Erin
47141000600,Cookeville
47141000301,Cookeville
47141001100,Cookeville
47141000800,Cookeville
47141000700,Cookeville
47141000100,Cookeville
47141001300,Cookeville
47141000900,Cookeville
47141001000,Cookeville
47141000500,Cookeville
47141000400,Cookeville
47185935500,Sparta
47165021103,Hendersonville
47165021201,Hendersonville
47185935000,Sparta
47185935200,Sparta
47185935400,Sparta
47185935300,Sparta
47185935100,Sparta
47031971002,Tullahoma
47031970803,Tullahoma
47031971001,Tullahoma
47031970201,Tullahoma
47031970804,Tullahoma
47031970401,Tullahoma
47031970402,Tullahoma
47079969300,Paris
47081950400,Hickman County
47081950100,Hickman County
47081950500,Hickman County
47159975400,Lafayette
47159975100,Lafayette
47159975200,Lafayette
47159975000,Lafayette
47159975300,Lafayette
47031970502,Tullahoma
47031970202,Tullahoma
47031970501,Tullahoma
47079969400,Paris
47079969800,Paris
47079969200,Paris
47079969700,Paris
47079969100,Paris
47147080701,Springfield
47147080702,Springfield
47015960201,McMinnville - Smithville
47015960202,McMinnville - Smithville
47177930201,McMinnville - Smithville
47177930202,McMinnville - Smithville
47165020800,Gallatin
47165021002,Goodlettsville
47165020901,Gallatin
47165020300,Portland
47165021203,Gallatin
47149042302,Smyma
47149041104,Murfreesboro
47149040107,Smyma
47037010106,Nashville - Northwest
47189030105,Lebanon
47189030207,Mount Juliet
47149040812,Smyma
47149040312,Smyma
47149040310,Smyma
47149042101,Murfreesboro
47149040404,Smyma
47149040908,Murfreesboro
47149040907,Murfreesboro
47037010103,Nashville - Northwest
47037010202,Nashville - Madison
47037010104,Nashville - Northwest
47031970801,Tullahoma
47031980100,Tullahoma
47165021104,Hendersonville
47165021205,Hendersonville
47165021009,Hendersonville
47165020501,Gallatin
47187050205,Franklin
47037010602,Nashville - Madison
47037015637,Nashville - Southeast
47037015633,Nashville - East
47187050304,Franklin
47187050905,Franklin
47187050204,Nashville - South
47037019200,Nashville - East End
47037015636,Nashville - Southeast
47037019119,Nashville - South
47037018205,Nashville - Southwest
47037019501,Nashville - Vanderbilt
47037018411,Nashville - Southwest
47037018204,Nashville - Southwest
47037015632,Nashville - East
47037015634,Nashville - Southeast
47037019121,Nashville - South
47037019120,Nashville - South
47037013002,Nashville - West
47037013600,Nashville - Central North
47037019502,Nashville - Downtown
47037010404,Nashville - Madison
47037015805,Nashville - Airport
47037013701,Nashville - Central North
47037015635,Nashville - Southeast
47037019402,Nashville - Central
47037019401,Nashville - Downtown
47037019007,Nashville - South
47187050206,Franklin
47037016700,Nashville - Southwest
47037010403,Nashville - Madison
47037010105,Nashville - Northwest
47037018412,Nashville - Southwest
47037019503,Nashville - Downtown
47037018303,Nashville - West
47037013001,Nashville - West
47037013702,Nashville - Central North
47037018304,Nashville - West
47037015806,Nashville - Airport
47037019008,Nashville - South
47037010303,Goodlettsville
47037010302,Goodlettsville
47037010601,Nashville - Madison
47037015624,Nashville - East
47037015625,Nashville - East
47081950201,Hickman County
47081950202,Hickman County
47165020403,Portland
47101970200,Lewis County
47101970100,Lewis County
47149041601,Murfreesboro
47149041602,Murfreesboro
47149041405,Murfreesboro
47149041404,Murfreesboro
47127930200,Fayetteville
47165021105,Hendersonville
47165021204,Hendersonville
47165021007,Hendersonville
47165020407,White House
47165020601,Gallatin
47165020209,Portland
47165020102,Portland
47165020208,Portland
47165020205,Portland
47165021006,Hendersonville
47165020406,White House
47165020904,Gallatin
47165020905,Gallatin
47117955200,Lewisburg
47117955100,Lewisburg
47117955000,Lewisburg
47117955300,Lewisburg
47117955500,Lewisburg
47149041000,Murfreesboro
47149042000,Murfreesboro
47149041800,Murfreesboro
47149040600,Murfreesboro
47149040200,Smyma
47189030906,Mount Juliet
47187050502,Fairview
47149041500,Murfreesboro
47149041700,Murfreesboro
47149041900,Murfreesboro
47189030905,Lebanon
47189030311,Mount Juliet
47189030310,Mount Juliet
47189030907,Lebanon
47189030908,Mount Juliet
47189030103,Lebanon
47189030205,Mount Juliet
47189030206,Mount Juliet
47189030104,Lebanon
47149040909,Murfreesboro
47149040911,Murfreesboro
47149040910,Murfreesboro
47149040906,Murfreesboro
47149040309,Smyma
47149040811,Smyma
47149040106,Smyma
47149040405,Smyma
47149040703,Murfreesboro
47149040704,Murfreesboro
47149041406,Murfreesboro
47149042102,Murfreesboro
47149040311,Smyma
47149041103,Murfreesboro
47149041407,Murfreesboro
47149042301,Smyma
47079969502,Paris
47079969602,Paris
47079969601,Paris
47079969501,Paris
47079969002,Paris
47079969001,Paris
47119010204,Spring Hill
47119010401,Columbia
47119010402,Columbia
47119011004,Columbia
47119010203,Spring Hill
47119010205,Spring Hill
47119011003,Columbia
47043060202,Dickson
47043060201,Dickson
47111970302,Lafayette
47111970301,Lafayette
47055920600,Pulaski
47043060700,Dickson
47043060300,Dickson
47043060100,Dickson
47055920400,Pulaski
47055920500,Pulaski
47055920200,Pulaski
47055920800,Pulaski
47055920700,Pulaski
47055920100,Pulaski
47021070203,Cheatham County
47021070103,Cheatham County
47037011300,Nashville - Northeast
47037017901,Nashville - Green Hills
47021070102,Cheatham County
47037013300,Nashville - West
47037018102,Nashville - Southwest
47037015620,Nashville - Southeast
47005963300,Waverly - Erin
47005963100,Waverly - Erin
47005963400,Waverly - Erin
47005963200,Waverly - Erin
47005963000,Waverly - Erin
47015960100,McMinnville - Smithville
47015960300,McMinnville - Smithville
47021070300,Cheatham County
47147080200,Springfield
47041920300,McMinnville - Smithville
47189030203,Mount Juliet
47189030402,Lebanon
47189030401,Lebanon
47189030904,Lebanon
47111970400,Lafayette
47111970100,Lafayette
47175925200,Sparta
47175925000,Sparta
47037015700,Nashville - Airport
47111970200,Lafayette
47003950201,Shelbyville
47003950202,Shelbyville
47037019004,Nashville - South
47037015404,Nashville - East
47037018801,Nashville - South
47037014400,Nashville - Vanderbilt
47037011001,Nashville - Northeast
47037017200,Nashville - Central South
47037015900,Nashville - Central South
47037012702,Nashville - Northwest
47037010401,Nashville - Madison
47037017800,Nashville - Green Hills
47037019109,Nashville - South
47037017500,Nashville - Woodbine
47037015613,Nashville - Southeast
47037010301,Goodlettsville
47037010802,Nashville - Madison
47037011100,Nashville - Northeast
47037015614,Nashville - Southeast
47037017300,Nashville - Woodbine
47037015300,Nashville - East
47037018601,Nashville - Green Hills
47037011500,Nashville - Northeast
47037010903,Nashville - Madison
47037019112,Nashville - South
47037010904,Nashville - Northeast
47037011002,Nashville - Northeast
47037980200,Nashville - Woodbine
47037013100,Nashville - West
47037015619,Nashville - Southeast
47037015401,Nashville - East
47037015609,Nashville - East
47037015405,Nashville - East
47037018407,Nashville - Southwest
47037011700,Nashville - Northeast
47037018404,Nashville - Green Hills
47037012801,Nashville - Northwest
47037011600,Nashville - Northeast
47037018500,Nashville - Green Hills
47037019111,Nashville - South
47037010901,Nashville - Madison
47037015617,Nashville - Southeast
47037018000,Nashville - Southwest
47037012701,Nashville - Northwest
47037015615,Nashville - Southeast
47037018201,Nashville - Southwest
47037018405,Nashville - Southwest
47037018408,Nashville - Southwest
47037010501,Nashville - Madison
47037010502,Nashville - Madison
47037011200,Nashville - Northeast
47037011800,Nashville - East End
47037011900,Nashville - East End
47037012100,Nashville - East End
47037012200,Nashville - East End
47147080101,White House
47147080401,Springfield
47147080500,Springfield
47147080402,Springfield
47037012802,Nashville - Northwest
47037013500,Nashville - Southwest
47037017402,Nashville - Woodbine
47037018902,Nashville - South
47037018203,Nashville - Southwest
47037018602,Nashville - Green Hills
47037018700,Nashville - Green Hills
47037010701,Nashville - Madison
47187050907,Franklin
47187050103,Franklin
47043060401,Dickson
47043060501,Dickson
47043060402,Dickson
47149041302,Murfreesboro
47149042200,Smyma
47189030304,Mount Juliet
47189030500,Lebanon
47189030700,Lebanon
47189031000,Lebanon
47037012600,Nashville - East End
47037015618,Nashville - Southeast
47037017401,Nashville - Woodbine
47037018101,Nashville - Southwest
47037013800,Nashville - Central North
47037013900,Nashville - Central North
47037016000,Nashville - Central South
47037016200,Nashville - Central South
47037016100,Nashville - Central South
47037018901,Nashville - South
47037014200,Nashville - Central North
47037014300,Nashville - Central North
47037014800,Nashville - Central South
47037016300,Nashville - Vanderbilt
47037015100,Nashville - East
47037016400,Nashville - Vanderbilt
47037015200,Nashville - East
47037015402,Nashville - East
47037016500,Nashville - Vanderbilt
47037019108,Nashville - South
47037015501,Nashville - East
47037019003,Nashville - South
47037016600,Nashville - Vanderbilt
47037016800,Nashville - Vanderbilt
47037019110,Nashville - South
47187050307,Franklin
47187050306,Franklin
47187050702,Franklin
47187050406,Franklin
47187050904,Franklin
47187050303,Franklin
47187050305,Franklin
47187050405,Franklin
47187050403,Franklin
47187050404,Franklin
47187050601,Franklin
47187050503,Fairview
47043060602,Dickson
47037019105,Nashville - South
47037019106,Nashville - South
47037015502,Nashville - East
47037017100,Nashville - Central South
47037016900,Nashville - Vanderbilt
47189030202,Lebanon
47189030600,Lebanon
47187050908,Franklin
47041920102,McMinnville - Smithville
47041920101,McMinnville - Smithville
47187051002,Franklin
47187050909,Franklin
47117955400,Lewisburg
47147080104,White House
47147080301,Springfield
47147080606,Springfield
47147080302,Springfield
47147080604,Springfield
47147080603,Springfield
47147080103,White House
47147080605,Springfield
47037017902,Nashville - Green Hills
47083120200,Waverly - Erin
47083120100,Waverly - Erin
47083120300,Waverly - Erin
47037019116,Nashville - South
47037015627,Nashville - Southeast
47037015623,Nashville - East
47037980100,Nashville - Airport
47037019115,Nashville - South
47037010201,Nashville - Madison
47037019600,Nashville - Lebanon Pike
47037019300,Nashville - Central
47103975601,Fayetteville
47103975602,Fayetteville
47031970100,Tullahoma
47031970600,Tullahoma
