GEOID,submarket
12035060211,Palm Coast
12035060210,Palm Coast
12001001815,Alachua County - west
12001000201,Gainesville - northeast
12035060218,Palm Coast
12035060216,Palm Coast
12035060215,Palm Coast
12035060219,Palm Coast
12035060217,Palm Coast
12035060220,Palm Coast
12083002302,Ocala - south
12083001600,Ocala - north
12001001201,Gainesville - northwest
12001000400,Gainesville - northeast
12001001000,Gainesville - University south
12001001400,Gainesville - northeast
12001001802,Gainesville - northeast
12001002101,Gainesville - west
12001002201,Alachua County - west
12001002209,Gainesville - west
12001001203,Gainesville - northeast
12001001902,Gainesville - northeast
12001002210,Alachua County - west
12001000500,Gainesville - northeast
12001001202,Gainesville - northwest
12001002202,Alachua County - west
12001000600,Gainesville - northeast
12127090401,DeLand
12127081202,Daytona Beach - central
12127090906,Orange City
12127081701,Daytona Beach - north
12127090402,DeLand
12127080101,Ormond Beach
12127081702,Daytona Beach - north
12127082303,Daytona Beach - north
12127090905,Orange City
12127081201,Daytona Beach - central
12127083211,Port Orange
12127082512,Port Orange
12127081002,Daytona Beach - north
12127083210,Port Orange
12127091033,Orange City
12127082513,Port Orange
12127090808,Orange City
12127091032,Orange City
12127091038,Orange City
12127082302,Daytona Beach - north
12127080808,Ormond Beach
12127080809,Daytona Beach - north
12127091031,Orange City
12127091036,Orange City
12127091034,Orange City
12127091037,Orange City
12127091035,Orange City
12127091039,Orange City
12127080102,Ormond Beach
12127081001,Daytona Beach - north
12127091030,Orange City
12127090807,Orange City
12001001701,Gainesville - northwest
12001001803,Gainesville - northwest
12001001819,Alachua County - west
12001002207,Gainesville - west
12001001702,Gainesville - northwest
12001000202,Gainesville - downtown
12001002002,Gainesville - northeast
12001001522,Gainesville - University west
12001002222,Gainesville - west
12001002001,Gainesville - northeast
12001001816,Alachua County - west
12001001817,Gainesville - northwest
12001001818,Alachua County - west
12001001605,Gainesville - University west
12001002221,Gainesville - west
12001002208,Gainesville - west
12001002204,Gainesville - northwest
12127080400,Ormond Beach
12127080600,Ormond Beach
12127082406,Daytona Beach - south
12127081300,Daytona Beach - central
12127081500,Daytona Beach - central
12127080500,Daytona Beach - north
12127081600,Daytona Beach - central
12127081800,Daytona Beach - north
12127082503,Port Orange
12127082201,Daytona Beach - central
12127082202,Daytona Beach - central
12127080700,Ormond Beach
12127082404,Daytona Beach - south
12127081900,Daytona Beach - central
12127082405,Daytona Beach - south
12127082100,Daytona Beach - central
12127080300,Ormond Beach
12127082705,New Smyma Beach
12083000901,Ocala - south
12083001302,Ocala - north
12083000302,Ocala - north
12083001700,Ocala - north
12083001800,Ocala - north
12083002001,Ocala - north
12083002002,Ocala - north
12083000402,Ocala - north
12083000502,Ocala - north
12083000501,Ocala - north
12083000605,Ocala - south
12083000604,Ocala - south
12083001205,Ocala - south
12083001206,Ocala - south
12083001005,Ocala - west
12083002605,Ocala - west
12083001007,Ocala - west
12083002604,Ocala - west
12083001208,Ocala - south
12083002201,Ocala - south
12083002202,Ocala - south
12083002203,Ocala - south
12083001500,Ocala - north
12127091020,Orange City
12083002402,Ocala - south
12083002401,Ocala - south
12083001301,Ocala - north
12083002100,Ocala - south
12083001401,Ocala - north
12083002602,Ocala - west
12035060213,Palm Coast
