GEOID,Submarket
12069030307,Leesburg
12069030411,Leesburg
12069031323,Clermont
12069030914,Mt Dora
12069030805,Mt Dora
12119911202,The Villages
12117021805,Altamonte Springs
12117022209,Winter Park - East
12069031318,Hancock Lake
12069030408,Leesburg
12069031207,Outlying Lake County
12069031208,Outlying Lake County
12069031108,Outlying Lake County
12069031312,Clermont
12069031001,Outlying Lake County
12069031324,Hancock Lake
12069030110,Mt Dora
12069031106,Outlying Lake County
12069030210,Mt Dora
12069030915,Mt Dora
12069031316,Clermont
12069031321,Clermont
12069031002,Outlying Lake County
12069030917,Mt Dora
12069031320,Clermont
12069031319,Clermont
12069031314,Hancock Lake
12069031317,Hancock Lake
12069031206,Outlying Lake County
12069030918,Mt Dora
12069030916,Mt Dora
12069030409,Leesburg
12117021708,Forest City
12117020811,Lake Mary
12117021707,Forest City
12117021806,Altamonte Springs
12097043303,St Cloud
12097042201,East Kissimme
12097040810,Celebration
12097042902,Fish Lake
12097040904,West Kissimme
12097043208,St Cloud
12097042901,Fish Lake
12097041004,Celebration
12097043801,Osceola County - North
12097043802,Osceola County - South
12097040811,Celebration
12097041003,Celebration
12097041006,Celebration
12097040808,Celebration
12097041501,Celebration
12097043207,St Cloud
12097043304,St Cloud
12097043209,St Cloud
12097041102,Celebration
12097041302,Celebration
12097041101,Celebration
12097040809,Celebration
12097040903,West Kissimme
12097040805,Celebration
12097040812,Celebration
12097042904,Fish Lake
12097041005,Celebration
12097040806,Celebration
12097042604,Fish Lake
12097042905,Fish Lake
12097041502,Celebration
12097040807,Celebration
12097041301,Celebration
12097042603,Fish Lake
12095012405,Orlando - Rosemont
12097042202,East Kissimme
12097042903,Fish Lake
12069030407,Leesburg
12069030807,Mt Dora
12069030804,Mt Dora
12069031306,Clermont
12095017812,Apopka
12095016750,Stoneybrook
12095016756,Orlando - Vista Park
12095015005,Apopka
12095016911,Oak Ridge
12095016753,Stoneybrook
12095015006,Apopka
12095017122,Lake Buena Vista
12095016414,Goldenrod
12095017025,Lake Bryan
12095017811,Apopka
12095016514,University Park
12095016515,University Park
12095017813,Apopka
12095016749,Stoneybrook
12095018800,Orlando - Downtown
12095016908,Oak Ridge
12095017814,Apopka
12095012404,Orlando - Rosemont
12095016814,Hunter's Creek
12095016813,Hunter's Creek
12095016910,Oak Ridge
12095016748,Stoneybrook
12095016744,Stoneybrook
12095016742,Stoneybrook
12095016752,Stoneybrook
12095017123,Lake Buena Vista
12117020812,Lake Mary
12117021317,Oviedo
12117022208,Winter Park - East
12117021321,Oviedo
12069031308,Clermont
12117021319,Oviedo
12009071354,Palm Bay
12009062402,Melbourne
12009062401,Melbourne
12009063109,Melbourne
12009062113,Melbourne
12009062110,Melbourne
12009065024,Palm Bay
12009071351,Palm Bay
12009071352,Palm Bay
12009071342,Palm Bay
12009071341,Palm Bay
12009071345,Palm Bay
12009065023,Palm Bay
12009071205,Melbourne
12009060105,Titusville
12009069905,Titusville
12009065130,Palm Bay
12009065126,Palm Bay
12095017506,Apopka
12095017810,Apopka
12095016735,Orlando - Southeast
12095017113,Lake Buena Vista
12095017401,Winter Garden
12095017505,Apopka
12095016603,Eastern Orange County
12095014705,Metro West
12095018204,Orlando - Colonial Town
12095016512,University Park
12095016738,Union Park
12095016745,Stoneybrook
12095014706,Metro West
12095017402,Winter Garden
12095016739,Union Park
12095015204,Lockhart
12095019000,Winter Park - West
12095013513,Edgewood Park
12095016812,Hunter's Creek
12095016810,Hunter's Creek
12095016809,Hunter's Creek
12095017023,Lake Bryan
12095016747,Stoneybrook
12095017120,Winter Garden
12095013702,Orlando - Azalea Park
12095018300,Orlando - Pine Hills
12095016511,University Park
12009071349,Palm Bay
12095017019,Hunter's Creek
12095017115,Lake Buena Vista
12095017112,Lake Buena Vista
12095018201,Orlando - Colonial Town
12095017116,Winter Garden
12095017118,Winter Garden
12009065127,Palm Bay
12009071350,Palm Bay
12009071202,Melbourne
12009071344,Palm Bay
12009071203,Melbourne
12009065240,Palm Bay
12009065237,Palm Bay
12009064701,Melbourne
12009060201,Titusville
12009063108,Melbourne
12009071201,Melbourne
12009062115,Melbourne
12095017108,Lake Buena Vista
12095016733,Orlando - Vista Park
12095013202,Union Park
12095013406,Edgewood Park
12095013510,Edgewood Park
12095013512,Orlando - Vista Park
12095016906,Oak Ridge
12009068603,Melbourne
12009068604,Melbourne
12009060106,Titusville
12009071348,Palm Bay
12009071204,Melbourne
12095017200,Winter Garden
12009064201,Melbourne
12009061202,Titusville
12009061001,Titusville
12009061002,Titusville
12009062109,Melbourne
12095013201,Union Park
12095013606,Orlando - Vista Park
12095016907,Oak Ridge
12095018000,Winter Park - West
12095013701,Orlando - Azalea Park
12009062108,Melbourne
12009062301,Melbourne
12009063105,Melbourne
12009071337,Palm Bay
12009063106,Melbourne
12009064126,Melbourne
