GEOID,Submarket
04021000217,Queen Creek
04021941402,Maricopa - East
04021002107,Eloy
04021001714,Maricopa - West
04021002005,Eloy
04021002004,Eloy
04021001309,Casa Grande
04021001307,Casa Grande
04021000804,Florence
04021001310,Casa Grande
04021000903,Florence
04021002106,Eloy
04021000805,Florence
04021000321,Apache Junction
04021001712,Maricopa - West
04021001715,Maricopa - West
04021941401,Maricopa - West
04021000806,Florence
04021000229,Queen Creek
04021000904,Florence
04021000325,Apache Junction
04021001717,Maricopa - West
04021000807,Florence
04021000216,Queen Creek
04021001716,Maricopa - West
04021000808,Florence
04021000324,Apache Junction
04021000218,Queen Creek
04021000323,Apache Junction
04021000223,Queen Creek
04021000224,Queen Creek
04021002104,Eloy
04021001308,Casa Grande
04021000222,Queen Creek
04021000221,Queen Creek
04021000320,Apache Junction
04021000225,Queen Creek
04021000226,Queen Creek
04021002105,Eloy
04021000220,Queen Creek
04021000322,Apache Junction
04021001713,Maricopa - West
04021000219,Queen Creek
04021000228,Queen Creek
04021000227,Queen Creek
04013422656,Gilbert
04013422658,Gilbert
04013093104,Glendale - South
04013103205,Phoenix - Paradise Valley Village
04013103206,Phoenix - Paradise Valley Village
04013104501,Phoenix - Sunnyslope
04013104502,Phoenix - Sunnyslope
04013105002,Phoenix - Paradise Valley Village
04013107900,Phoenix - East Camelback Village
04013108000,Phoenix - East Camelback Village
04013116721,Phoenix - Ahwatukee Foothills
04013116725,Phoenix - Ahwatukee Foothills
04013116727,Phoenix - Ahwatukee Foothills
04013116728,Phoenix - Ahwatukee Foothills
04013420202,Mesa - East
04013420207,Mesa - East
04013420208,Mesa - East
04013420209,Mesa - East
04013040506,Surprise
04013040507,Surprise
04013082010,Phoenix - Maryvale
04013103207,Phoenix - Paradise Valley Village
04013103208,Phoenix - Paradise Valley Village
04013103209,Phoenix - Paradise Valley Village
04013116729,Phoenix - Ahwatukee Foothills
04013318800,Tempe - North
04013319101,Tempe - North
04013318900,Tempe - North
04013319403,Tempe - North
04013319404,Tempe - North
04013319500,Tempe - North
04013420210,Mesa - East
04013420211,Mesa - East
04013420212,Mesa - East
04013420301,Mesa - East
04013420302,Mesa - East
04013420303,Mesa - East
04013420304,Mesa - East
04013103215,Phoenix - Paradise Valley Village
04013103210,Phoenix - Paradise Valley Village
04013103211,Phoenix - Paradise Valley Village
04013103212,Phoenix - Paradise Valley Village
04013103214,Phoenix - Paradise Valley Village
04013216813,Scottsdale - North
04013105101,Phoenix - Paradise Valley West
04013105200,Phoenix - East Uptown
04013105300,Phoenix - West Uptown
04013108100,Phoenix - East Camelback Village
04013110001,Phoenix - Maryvale
04013112301,Phoenix - Maryvale
04013112402,Phoenix - Maryvale
04013061100,Litchfield
04013061200,Avondale
04013061300,Goodyear
04013071503,Peoria
04013104600,Phoenix - Sunnyslope
04013216816,Scottsdale - North
04013216826,Scottsdale - North
04013216902,Scottsdale - South
04013217001,Scottsdale - South
04013217101,Scottsdale - South
04013071504,Peoria
04013071505,Surprise
04013111203,Phoenix - Central East
04013111204,Phoenix - Central East
04013111300,Phoenix - Central East
04013111402,Phoenix - Central East
04013980700,Fountain Hills
04013217102,Scottsdale - South
04013217201,Scottsdale - South
04013422649,Mesa - Airport
04013422655,Mesa - Airport
04013422651,Mesa - Airport
04013523006,Chandler
04013523102,Chandler
04013523103,Chandler
04013422102,Mesa - West
04013422103,Mesa - West
04013422104,Mesa - West
04013422105,Mesa - West
04013422106,Mesa - West
04013422107,Mesa - West
04013422203,Mesa - West
04013422209,Chandler
04013941100,Phoenix - Ahwatukee Foothills
04013217700,Scottsdale - South
04013319600,Tempe - North
04013421901,Mesa - West
04013422501,Mesa - East
04013422502,Mesa - East
04013422210,Chandler
04013422211,Chandler
04013422212,Mesa - West
04013422213,Mesa - West
04013422216,Mesa - West
04013422218,Chandler
04013422219,Chandler
04013422220,Chandler
04013422301,Mesa - West
04013422302,Mesa - East
04013619100,Phoenix - Paradise Valley West
04013618300,Phoenix - Deer Valley
04013116605,Phoenix - South
04013116606,Phoenix - South
04013811200,Chandler
04013216851,Scottsdale - North
04013613000,Phoenix - Happy Valley
04013811400,Chandler
04013815700,Gilbert
04013816700,Queen Creek
04013980100,Maricopa County - West
04013093001,Glendale - South
04013611300,Phoenix - Happy Valley
04013217502,Scottsdale - South
04013092717,Glendale - South
04013117100,Phoenix - Midtown
04013117300,Phoenix - Maryvale
04013811800,Chandler
04013116607,Phoenix - South
04013116610,Phoenix - South
04013116611,Phoenix - South
04013116612,Phoenix - South
04013422642,Mesa - Airport
04013092718,Glendale - South
04013092720,Glendale - South
04013092723,Peoria
04013092724,Peoria
04013092802,Glendale - South
04013093002,Glendale - South
04013093106,Glendale - South
04013060904,Surprise
04013216831,Scottsdale - North
04013216832,Scottsdale - North
04013216834,Scottsdale - North
04013216835,Scottsdale - North
04013217204,Scottsdale - South
04013813800,Chandler
04013319103,Tempe - North
04013319104,Tempe - North
04013319201,Tempe - North
04013116732,Phoenix - Ahwatukee Foothills
04013811900,Chandler
04013812000,Chandler
04013812200,Chandler
04013610700,Maricopa County - East
04013814200,Gilbert
04013814300,Gilbert
04013422643,Mesa - Airport
04013816100,Gilbert
04013816200,Gilbert
04013217501,Scottsdale - South
04013061031,Surprise
04013061043,Litchfield
04013083000,Phoenix - Maryvale
04013093200,Peoria
04013319202,Tempe - North
04013319705,Tempe - North
04013319706,Tempe - South
04013320100,Tempe - North
04013420115,Mesa - East
04013420116,Mesa - East
04013420214,Mesa - East
04013420215,Mesa - East
04013420707,Mesa - East
04013814600,Gilbert
04013817400,Chandler
04013612500,Phoenix - Happy Valley
04013618400,Phoenix - Deer Valley
04013618900,Phoenix - Deer Valley
04013816800,Queen Creek
04013817000,Queen Creek
04013817300,Chandler
04013817500,Chandler
04013071514,Peoria
04013040512,Surprise
04013040513,Surprise
04013040522,Peoria
04013040523,Peoria
04013040524,Surprise
04013420708,Mesa - East
04013420709,Mesa - East
04013420710,Mesa - East
04013421001,Mesa - West
04013421303,Mesa - West
04013421701,Mesa - East
04013421702,Mesa - East
04013422221,Mesa - West
04013422222,Mesa - West
04013422622,Gilbert
04013216830,Scottsdale - North
04013216833,Scottsdale - North
04013216837,Scottsdale - North
04013216838,Scottsdale - North
04013980500,Chandler
04013980400,Chandler
04013522904,Chandler
04013422627,Mesa - East
04013611200,Peoria
04013611700,Phoenix - Happy Valley
04013611800,Phoenix - Happy Valley
04013612600,Phoenix - Happy Valley
04013040525,Surprise
04013040526,Surprise
04013040527,Surprise
