GEOID,Submarket
37183054215,Wake Forest
37183052810,Raleigh - Southeast
37183053614,Raleigh - Brier Creek
37183053426,Apex
37183054304,Wendell
37183053611,Clay - Morrisville
37183053609,Clay - Morrisville
37183054020,Wake Forest
37183054021,Wake Forest
37037020803,Chatham County - East
37063002037,Durham - South
37063002038,Durham - South
37135011300,Chapel Hill
37135011400,Chapel Hill
37135011500,Chapel Hill
37135011700,Chapel Hill
37183054303,Wendell
37183053417,Apex
37183054305,Wendell
37183054212,Wake Forest
37183052811,Raleigh - Southeast
37183052813,Garner
37183054306,Wendell
37183053434,Apex
37183053612,Clay - Morrisville
37183052812,Garner
37183054502,Raleigh - South
37183053430,Apex
37183053620,Clay - Morrisville
37183053112,Fuquay-Varina
37183053615,Raleigh - Brier Creek
37183052508,Raleigh - Northwest
37183053011,Raleigh - Southwest
37183052303,Raleigh - Southwest
37183054214,Wake Forest
37183054117,Raleigh - Northeast
37183054220,Wake Forest
37183053727,Raleigh - Northwest
37183054116,Raleigh - Northeast
37183053436,Apex
37183054213,Wake Forest
37183053431,Apex
37183053010,Raleigh - Southwest
37183052814,Garner
37183052906,Garner
37183053428,Apex
37183053433,Apex
37183054216,Wake Forest
37183054501,Raleigh - South
37183052905,Garner
37183052304,Raleigh - Southwest
37183053619,Clay - Morrisville
37183054219,Wake Forest
37183052305,Raleigh - University
37183053618,Clay - Morrisville
37183053728,Raleigh - Northwest
37069060404,Franklin County
37069060602,Franklin County
37069060403,Franklin County
37069060601,Franklin County
37069060703,Franklin County
37101041001,Clayton
37183054114,Knightdale
37183053410,Clay - Morrisville
37145920400,Person County
37145920200,Person County
37145920500,Person County
37145920300,Person County
37145920100,Person County
37101040800,Smithfield
37101040400,Smithfield
37101040700,Smithfield
37101040600,Smithfield
37069060702,Franklin County
37069060701,Franklin County
37183053617,Clay - Morrisville
37183053429,Apex
37183053209,Holly Springs
37183053115,Fuquay-Varina
37183053114,Fuquay-Varina
37183053113,Fuquay-Varina
37183053902,Wake Forest
37183053616,Clay - Morrisville
37183053613,Raleigh - Brier Creek
37183053415,Apex
37183052509,Raleigh - Northwest
37183053901,Wake Forest
37183054217,Wake Forest
37183054218,Wake Forest
37183054221,Wake Forest
37183054222,Wake Forest
37183054019,Wake Forest
37183053208,Holly Springs
37063001301,Durham - Central
37063002300,Durham - Central
37135010804,Hillsborough
37135010803,Hillsborough
37135011001,Hillsborough
37135011002,Hillsborough
37135010904,Hillsborough
37135011208,Carrboro
37135010903,Hillsborough
37135011106,Hillsborough
37135011209,Carrboro
37135011210,Carrboro
37135011903,Chapel Hill
37135011206,Chapel Hill
37135011104,Hillsborough
37135011211,Carrboro
37135011103,Hillsborough
37135012102,Chapel Hill
37135012103,Chapel Hill
37135012101,Chapel Hill
37135010710,Carrboro
37101041510,Benson
37101041509,Benson
37101041104,Clayton
37101040903,Clayton
37101040904,Clayton
37101040303,Smithfield
37101040207,Clayton
37101040304,Smithfield
37101040209,Clayton
37101041206,Smithfield
37101041505,Benson
37101041203,Smithfield
37101041302,Smithfield
37101041204,Smithfield
37101041402,Benson
37101040905,Clayton
37101041205,Smithfield
37101041401,Benson
37101041110,Clayton
37101040103,Smithfield
37101040501,Smithfield
37101040205,Clayton
37101041004,Clayton
37101041507,Benson
37101041506,Benson
37135011904,Chapel Hill
37101040906,Clayton
37101040101,Smithfield
37101041105,Clayton
37101041108,Clayton
37101041107,Clayton
37101040206,Clayton
37101040204,Clayton
