GEOID,Submarket
49005000602,Logan
49005000601,Logan
49035115107,South Jordan - Herriman
49035112831,Draper
49035111001,Holladay
49035113544,West Valley City
49035113025,South Jordan - Herriman
49035113024,South Jordan - Herriman
49043964104,Outlying Summit County
49043964103,Outlying Summit County
49035112815,Draper
49035110800,Holladay
49035112812,Sandy
49035112616,Sandy
49035112614,Sandy
49035113016,South Jordan - Herriman
49035113012,South Jordan - Herriman
49035111500,South Salt Lake
49035112814,Sandy
49035104200,Salt Lake City - Southeast
49035110103,Park City
49035112609,Sandy
49035112917,West Jordan
49035112700,Sandy
49035111002,Sandy
49035100200,North Salt Lake - Bountiful
49057210102,Ogden
49057210305,Ogden
49035102100,Salt Lake City - East Central
49057200302,Ogden
49057210306,Ogden
49057210101,Ogden
49057210518,Ogden
49057210406,Ogden
49057210407,Ogden
49057210405,Ogden
49057210513,Ogden
49057210408,Ogden
49057210514,Ogden
49057210515,Ogden
49057210517,Ogden
49057210516,Ogden
49057200301,Ogden
49035115109,South Jordan - Herriman
49035113545,West Valley City
49035113543,West Jordan
49035113542,West Jordan
49035115108,South Jordan - Herriman
49035112830,Draper
49035100500,Salt Lake City - West
49035100600,Salt Lake City - West
49049001801,Provo
49049001803,Provo
49049010117,Lehi
49035113903,Magna
49035110104,Park City
49035112611,Sandy
49035111304,Sandy
49035113014,South Jordan - Herriman
49035110300,Millcreek
49035101200,Salt Lake City - East Central
49035103500,Salt Lake City - Southeast
49035112617,Sandy
49035112813,Sandy
49049000103,Lehi
49035100100,Salt Lake City - West Central
49035100306,Salt Lake City - West
49035100700,Salt Lake City - West Central
49035100800,Salt Lake City - West Central
49035101000,North Salt Lake - Bountiful
49049001001,Orem
49049001002,Orem
49049001103,Orem
49049001201,Orem
49049001202,Orem
49049001300,Orem
49049000707,Orem
49049000801,Orem
49049000706,Orem
49049001601,Provo
49049001602,Provo
49057210600,Ogden
49057210701,Ogden
49057210703,Ogden
49005000301,Logan
49005000302,Logan
49049001900,Provo
49029970200,Outlying Summit County
49049001504,Provo
49049000903,Orem
49049000904,Orem
49023010200,Juab County
49023010100,Juab County
49049003201,Spanish Fork
49049002300,Provo
49049002400,Provo
49049003203,Spanish Fork
49049003403,Spanish Fork
49035113311,West Valley City
49035110106,Park City
49035114601,South Jordan - Herriman
49035112826,South Jordan - Herriman
49035113313,West Valley City
49035113415,West Valley City
49035113414,West Valley City
49035111108,Holladay
49035101401,Salt Lake City - University
49035114301,West Jordan
49035112621,Sandy
49035102502,Salt Lake City - West Central
49035102501,Salt Lake City - West Central
49035113908,Magna
49035115210,South Jordan - Herriman
49035115211,South Jordan - Herriman
49035113021,South Jordan - Herriman
49035113022,South Jordan - Herriman
49035101402,Salt Lake City - University
49035113909,Magna
49035111106,Holladay
49035111107,Holladay
49035111109,Holladay
49035112405,Midvale
49035112406,Midvale
49035112102,Murray
49035114302,West Jordan
49035111105,Murray
49035113805,West Valley City
49035980100,West Jordan
49049010115,Lehi
49049000511,Pleasant Grove
49049002209,Orem
49049010223,Lehi
49049010224,Lehi
49049980400,Provo
49049002703,Provo
49049980200,Provo
49049010306,Spanish Fork
49049002210,Orem
49049010123,Lehi
49049010121,Lehi
49049010116,Lehi
49049010226,Pleasant Grove
49049001403,Provo
49049010120,Lehi
49049002208,Orem
49049000207,Lehi
49049003302,Spanish Fork
49035112827,South Jordan - Herriman
49049980600,Provo
49049002101,Provo
49049002102,Provo
49035114500,Salt Lake City - West
49035113804,West Valley City
49035114304,West Jordan
49035112824,South Jordan - Herriman
49035112620,Sandy
49035112825,Draper
49035112101,Murray
49035111602,South Salt Lake
49011125201,Ogden
49011126107,Layton
49011126206,Layton
49011980000,Ogden
49011126108,Layton
49011125411,Layton
49011125408,Ogden
49011127005,North Salt Lake - Bountiful
49011125415,Layton
49011125413,Layton
49011126205,Layton
49011125809,Layton
49011125410,Layton
49011125810,Ogden
49011126106,Layton
49011125307,Ogden
49011125306,Ogden
49011125407,Ogden
49011125409,Ogden
49011127006,North Salt Lake - Bountiful
49011125412,Ogden
49035113532,Taylorsville
49035112907,West Jordan
49035113702,West Valley City
49035112001,Murray
49035113308,West Valley City
49035113802,West Valley City
49035113905,Magna
49035104800,Salt Lake City - Southeast
49035111400,South Salt Lake
49011126500,North Salt Lake - Bountiful
49011126600,North Salt Lake - Bountiful
49011126802,North Salt Lake - Bountiful
49003960301,Brigham City
49003960302,Brigham City
49035113101,West Jordan
49035113102,West Jordan
49035113528,West Jordan
49035113533,Taylorsville
49035114700,Salt Lake City - West
49035112619,Sandy
49035112821,Draper
49035113105,South Jordan - Herriman
49035112816,Draper
49035112618,Sandy
49035114200,West Jordan
49035113307,West Valley City
49035113600,West Valley City
49035113801,West Valley City
49035112912,West Jordan
49035112913,West Jordan
49035112914,West Jordan
49035113904,Magna
49005001002,Logan
49005001402,Logan
49005001202,Logan
49005001401,Logan
49005001201,Logan
49003960602,Brigham City
49011125414,Ogden
49035112916,West Jordan
49035112918,West Jordan
49035113007,South Jordan - Herriman
49035113008,South Jordan - Herriman
49035113406,West Valley City
49035113408,West Valley City
49035113409,West Valley City
49035113410,West Valley City
49035113411,West Valley City
