GEOID,submarket
48187210712,Selma
48187210710,Selma
48187210707,Selma
48187210709,Selma
48187210711,Selma
48187210508,Outlying Guadalupe County
48187210608,Outlying Guadalupe County
48187210713,Selma
48187210610,Outlying Guadalupe County
48187210716,Selma
48187210718,Selma
48187210509,Outlying Guadalupe County
48187210805,Seguin
48187210612,Outlying Guadalupe County
48187210613,Outlying Guadalupe County
48187210903,Outlying Guadalupe County
48187210905,Outlying Guadalupe County
48187210510,Outlying Guadalupe County
48187210511,Outlying Guadalupe County
48187210806,Seguin
48187210513,Outlying Guadalupe County
48187210609,Outlying Guadalupe County
48187210611,Outlying Guadalupe County
48187210715,Selma
48187210904,Outlying Guadalupe County
48187210512,Outlying Guadalupe County
48187210717,Selma
48187210614,Outlying Guadalupe County
48029131700,Schertz
48029140100,Southtown/King William
48029140200,Southtown/King William
48029140300,Southeast Side
48029140500,East Side
48029140700,East Side
48029140800,Southeast Side
48029140900,East Side
48029141000,Southeast Side
48029131200,East Side
48029141200,East Side
48029131606,Northeast Side
48029131300,East Side
48029121912,Far North Side
48029191819,Far North Side
48029191818,Far North Side
48029121911,Far North Side
48029120504,Longhorn
48029171927,Far West Side
48029172009,Northwest Bexar County
48029181732,Helotes
48029181733,Helotes
48029172008,Northwest Bexar County
48029121123,Hollywood Park/Welmore
48029171929,Leon Valley - west
48029120401,Fort Sam Houston
48029171928,Leon Valley - west
48029131616,Northeast Side
48029120601,Fort Sam Houston
48029120402,Terrell Hills
48029120301,Terrell Hills
48029120602,Fort Sam Houston
48029120302,Terrell Hills
48029120503,Longhorn
48029111100,Southtown/King William
48029121124,Hollywood Park/Welmore
48029171926,Far West Side
48029161600,Southside/Columbia Heights
48029980003,Southwest Bexar County
48029170101,Southtown/King William
48029170200,Southtown/King William
48029170300,Southtown/King William
48029170401,Southtown/King William
48029170402,Southtown/King William
48029170500,Southtown/King William
48029171912,Leon Valley - west
48029172002,Northwest Bexar County
48029180201,Balcones Heights
48029180300,Balcones Heights
48029180400,Southwest Research Institute
48029180501,Southwest Research Institute
48029180504,Southwest Research Institute
48029180602,Balcones Heights
48029180701,Oak Hills Country Club
48029180702,Oak Hills Country Club
48029180503,Southwest Research Institute
48029180800,Balcones Heights
48029180901,West Alamo Heights
48029180902,West Alamo Heights
48029181001,West Alamo Heights
48029181003,USAA Area
48029181004,Oak Hills Country Club
48029181005,Oak Hills Country Club
48029181100,Castle Hills
48029181200,Castle Hills
48029181301,Robards
48029181302,Robards
48029181402,Oakland Estates
48029181504,Oakland Estates
48029181505,Oak Hills Country Club
48029181506,Leon Valley - east
48029181601,Leon Valley - east
48029181703,Northwest Side
48029181704,Leon Valley - east
48029181705,Leon Valley - east
48029181711,Leon Valley - east
48029181712,Leon Valley - west
48029181713,Leon Valley - west
48029181715,Leon Valley - west
48029181716,Leon Valley - west
48029181718,Leon Valley - west
48029181809,University of Texas at San Ant
48029181811,Northwest Side
48029190200,West Alamo Heights
48029190400,Terrell Hills
48029190501,Balcones Heights
48029190601,Balcones Heights
48029190800,Terrell Hills
48029190901,Alamo Heights - central
48029191003,West Alamo Heights
48029191004,West Alamo Heights
48029191101,Castle Hills
48029191102,Castle Hills
48029191406,Far North Central
48029191408,Hill Country Village
48029191409,Hill Country Village
48029181808,Northwest Side
48029190504,West Alamo Heights
48029190503,West Alamo Heights
48029130402,East Side
48029131503,Windcrest
48029121908,Far North Side
48029110300,Southtown/King William
48029121803,Hollywood Park/Welmore
48029121812,Hollywood Park/Welmore
48029130300,Southtown/King William
48029130500,Southtown/King William
48029130600,Southtown/King William
48029130700,Southtown/King William
48029131000,East Side
48029121404,Windcrest
48029121501,Northeast Side
48029121504,Northeast Side
48029121507,Northeast Side
48029121508,Windcrest
48029121601,Universal City
48029131504,Windcrest
48029980004,North Loop
48029121604,Northeast Side
48029121802,Hollywood Park/Welmore
48029191816,Far North Side
48029121120,Hollywood Park/Welmore
48029191303,North Loop
48029121000,North Loop
48029161400,Southside/Columbia Heights
48029190700,Alamo Heights - central
48029110100,Southtown/King William
48029120800,Terrell Hills
48029120701,Alamo Heights - central
48029120901,Terrell Hills
48029120702,Terrell Hills
48029120902,Terrell Hills
48029141800,Southeast Bexar County
48029170102,Southtown/King William
48029130800,East Side
48029190100,West Alamo Heights
48029121110,Hollywood Park/Welmore
48029121111,Hollywood Park/Welmore
48029121112,Hollywood Park/Welmore
48029110600,Southtown/King William
48029110700,Southtown/King William
48029110500,Southtown/King William
48029120100,Fort Sam Houston
48029121402,Windcrest
48029121403,Windcrest
48029121116,Hollywood Park/Welmore
48029121117,Hollywood Park/Welmore
48029121300,Northeast Side
48029141300,East Side
48029181303,USAA Area
48029182103,Northwest Bexar County
48029130900,East Side
48029181602,Southwest Research Institute
48029160200,West Side
48029130200,Southtown/King William
48029190902,Alamo Heights - central
48029182101,Northwest Bexar County
48029980002,Southside/Columbia Heights
48029111000,Terrell Hills
48029980001,Northwest Bexar County
48029181503,Oakland Estates
48029121505,Northeast Side
48029121118,Hollywood Park/Welmore
48029140400,East Side
48029152000,City South
48029151400,Terrell Wells
48029131601,Schertz
48029160702,Southside/Columbia Heights
48029121506,Northeast Side
48029161200,City South
48029162001,Southwest Bexar County
48029171100,West Side
48029171801,Lackland Terrace
48029182102,Northwest Bexar County
48029191804,Northwest Bexar County
48029151900,City South
48029151500,Terrell Wells
48029121205,Longhorn
48029121804,Hollywood Park/Welmore
48029141900,Southeast Bexar County
48029140600,East Side
48029180202,Balcones Heights
48029152100,Southwest Bexar County
48029120502,Longhorn
48029121203,Longhorn
48029121204,North Loop
48029121206,Hollywood Park/Welmore
48029121115,Hollywood Park/Welmore
48029191806,Beckmann
48029121122,Hollywood Park/Welmore
48029191413,Far North Central
