GEOID,Submarket
12105012510,Davenport
12105014130,Lake Wales
12105014401,Winter Haven
12105012131,Lakeland
12105014703,Lakeland
12105012209,Lakeland
12105014126,Davenport
12105014128,Davenport
12105014127,Davenport
12105012132,Lakeland
12105012414,Davenport
12105012512,Davenport
12105012509,Davenport
12105012208,Lakeland
12105013601,Winter Haven
12105014131,Lake Wales
12105014303,Lake Wales
12105014304,Lake Wales
12105014402,Winter Haven
12105012511,Davenport
12105012130,Lakeland
12105014129,Davenport
12105012514,Davenport
12105012508,Davenport
12105012415,Davenport
12105012412,Davenport
12105012413,Davenport
12105012133,Lakeland
12103027212,Palm Harbor
12103027108,Clearwater - West
12053040913,Spring Hill
12053041602,Spring Hill
12053041601,Spring Hill
12053040912,Spring Hill
12103022402,St Petersburg - West
12103027401,Tarpon Springs
12103021200,St Petersburg - Downtown
12103020400,St Petersburg - South
12103020500,St Petersburg - South
12103020600,St Petersburg - South
12103020700,St Petersburg - South
12103020800,St Petersburg - South
12101031101,Port Richey
12101030901,New Port Richey
12101030700,New Port Richey
12101031504,New Port Richey
12101030800,New Port Richey
12101031404,New Port Richey
12101032200,Dade City
12101032500,Dade City
12101032001,Land O' Lakes
12101031008,Port Richey
12101032300,Dade City
12057000102,Tampa - Northeast
12057014300,Thonotosassa
12101031003,Port Richey
12101031006,Port Richey
12101031007,Port Richey
12057004602,Tampa - Airport
12057011716,Town 'n' Country
12057010823,University
12057004601,Tampa - Airport
12057014200,Tampa - Historic
12057011017,Tampa Palms - Pebble Creek
12057006503,Tampa - South Tampa
12057002701,Tampa - West
12057010215,Tampa Palms - Pebble Creek
12057010216,Tampa Palms - Pebble Creek
12057011525,Citrus Park - Westchase
12057000302,Tampa - Northeast
12057012110,Brandon
12057010822,University
12057000601,Tampa - Northwest
12057000901,Tampa - Northeast
12057011712,Town 'n' Country
12057980400,Thonotosassa
12057980500,Town 'n' Country
12101031401,New Port Richey
12101031503,New Port Richey
12057011714,Town 'n' Country
12057000702,Tampa - Northeast
12057000701,Tampa - Northeast
12057014400,Town 'n' Country
12057014017,Sun City Center
12057010218,Tampa Palms - Pebble Creek
12057011713,Town 'n' Country
12057011908,Egypt Lake-Leto
12057011617,Town 'n' Country
12057011616,Town 'n' Country
12057010217,Tampa Palms - Pebble Creek
12057011907,Egypt Lake-Leto
12057011909,Egypt Lake-Leto
12057011910,Egypt Lake-Leto
12057011806,Egypt Lake-Leto
12057011805,Egypt Lake-Leto
12057011911,Egypt Lake-Leto
12057002702,Tampa - West
12057011019,Tampa Palms - Pebble Creek
12053040901,Spring Hill
12053041201,Spring Hill
12053040701,Spring Hill
12053041401,Spring Hill
12053041402,Spring Hill
12057010820,University
12057000301,Tampa - Northeast
12057010821,University
12057011527,Citrus Park - Westchase
12057011528,Citrus Park - Westchase
12057011018,Tampa Palms - Pebble Creek
12057010824,University
12057010819,University
12057013705,Palm River-Clair Mel
12057004902,Tampa - West
12057011526,Citrus Park - Westchase
12057013323,Brandon
12057004901,Tampa - West
