GEOID,Submarket
12099006910,Delray Beach
12099006801,Delray Beach
12099006906,Delray Beach
12099006907,Delray Beach
12099006908,Delray Beach
12099006909,Delray Beach
12099006911,Delray Beach
12099006912,Delray Beach
12099007006,Boca Raton - West
12099007008,Boca Raton - West
12099007768,Boca Raton - West
12099007009,Boca Raton - West
12099007100,Boca Raton - East
12099007202,Boca Raton - East
12099007302,Boca Raton - East
12099007407,Boca Raton - East
12099007501,Boca Raton - East
12099007604,Boca Raton - East
12099007605,Boca Raton - East
12099007610,Boca Raton - West
12099007612,Boca Raton - West
12099007614,Boca Raton - West
12099007615,Boca Raton - West
12099007616,Boca Raton - West
12099007705,Wellington
12099007716,Boca Raton - West
12099007778,Wellington
12099007746,Boca Raton - West
12099007747,Boca Raton - West
12099007779,Wellington
12099007777,Boca Raton - West
12099007773,Delray Beach
12099007772,Delray Beach
12099007852,Wellington
12099007771,Wellington
12099007850,Wellington
12099007851,Wellington
12099007853,Wellington
12099007730,Boca Raton - West
12099007723,Wellington
12099007724,Wellington
12099007725,Wellington
12099007732,Boca Raton - West
12099007735,Outlying Palm Beach County
12099007739,Boca Raton - West
12099007740,Boca Raton - West
12099007741,Boca Raton - West
12099007743,Boca Raton - West
12099007736,Boca Raton - West
12099007749,Boca Raton - West
12099007805,Palm Beach Gardens
12099001909,West Palm Beach - West
12099980100,Palm Beach Gardens
12099001911,West Palm Beach - West
12099007821,Wellington
12099007823,Palm Beach Gardens
12099007830,Palm Beach Gardens
12099004401,Lake Worth
12099005930,Delray Beach
12099006700,Delray Beach
12099007603,Boca Raton - East
12099007742,Boca Raton - West
12099001600,West Palm Beach - North
12099002200,West Palm Beach - North
12099008101,Outlying Palm Beach County
12099007763,Wellington
12099008102,Outlying Palm Beach County
12099004601,Palm Springs
12099000202,Jupiter
12099007759,Wellington
12099006402,Delray Beach
12099007764,Wellington
12099007813,Wellington
12099008201,Outlying Palm Beach County
12099008202,Outlying Palm Beach County
12099008203,Outlying Palm Beach County
12099000408,Jupiter
12099000904,Palm Beach Gardens
12099001700,West Palm Beach - North
12099001916,West Palm Beach - West
12099001917,West Palm Beach - West
12099002005,West Palm Beach - North
12099000204,Jupiter
12099000210,Jupiter
12099000211,Jupiter
12099000702,North Palm Beach
12099000902,Palm Beach Gardens
12099000903,Palm Beach Gardens
12099005815,Lantana
12099007814,Palm Beach Gardens
12099005944,Delray Beach
12099007820,Wellington
12099005943,Delray Beach
12099005942,Delray Beach
12099007206,Boca Raton - East
12099007207,Boca Raton - East
12099005961,Lantana
12099007831,Palm Beach Gardens
12099007832,West Palm Beach - South
12099007844,Wellington
12099007919,Palm Beach Gardens
12099007767,Boca Raton - West
12099007833,West Palm Beach - South
12099007834,Palm Beach Gardens
12099001913,West Palm Beach - West
12099003600,West Palm Beach - South
12099007010,Boca Raton - West
12099000102,Jupiter
12099000208,Palm Beach Gardens
12099000213,Jupiter
12099006007,Boynton Beach
12099001907,West Palm Beach - West
12099007301,Boca Raton - East
12099007818,Wellington
12099007007,Boca Raton - West
12099007505,Boca Raton - East
12099005702,Boynton Beach
12099005951,Boynton Beach
12099005202,Lake Worth
12099001002,West Palm Beach - West
12099007754,Wellington
12099007812,Wellington
12099007909,Palm Beach Gardens
12099001904,West Palm Beach - West
12099003101,West Palm Beach - South
12099004402,Lake Worth
12099004810,Lake Worth
12099005101,Lake Worth
12099000405,Jupiter
12099001912,West Palm Beach - West
12099006802,Delray Beach
12099007005,Boca Raton - West
12099007613,Boca Raton - West
12099007731,Boca Raton - West
12099007738,Boca Raton - West
12099001102,Riviera Beach
12099004705,Palm Springs
12099005411,Boynton Beach
12099005812,Boynton Beach
12099005940,Delray Beach
12099005953,Boynton Beach
12099006009,Boynton Beach
12099008001,Outlying Palm Beach County
12099008301,Outlying Palm Beach County
12099004005,Palm Springs
12099000104,Jupiter
12099000222,Jupiter
12099000223,Jupiter
12099000219,Palm Beach Gardens
12099990100,Outlying Palm Beach County
12099980500,West Palm Beach - South
12099001004,Palm Beach Gardens
12099001101,Riviera Beach
12099001200,Riviera Beach
12099001302,Riviera Beach
12099001402,West Palm Beach - North
12099001403,Riviera Beach
12099007011,Boca Raton - West
12099007410,Delray Beach
12099004203,Lake Worth
12099007835,Palm Beach Gardens
12099007837,West Palm Beach - West
12099007838,Wellington
12099008002,Outlying Palm Beach County
12099000214,Jupiter
12099000301,Jupiter
12099000303,Palm Beach Gardens
12099000304,Palm Beach Gardens
12099000406,Jupiter
12099000407,Jupiter
12099000410,North Palm Beach
12099000505,North Palm Beach
12099000507,North Palm Beach
12099002006,West Palm Beach - North
12099003201,West Palm Beach - South
12099003202,West Palm Beach - South
12099003507,West Palm Beach - North
12099003902,West Palm Beach - South
12099004012,Palm Springs
12099004706,Palm Springs
12099004813,Lake Worth
12099007420,Boca Raton - East
12099007757,Wellington
12099007758,Wellington
12099004013,Palm Springs
12099007504,Boca Raton - East
12099007710,Wellington
12099007721,Wellington
12099007748,Boca Raton - West
12099008302,Outlying Palm Beach County
12099980000,Palm Springs
12099980200,Palm Beach Gardens
12099980400,Outlying Palm Beach County
12099001404,Riviera Beach
12099001500,Riviera Beach
12099000600,North Palm Beach
12099000703,North Palm Beach
12099000803,Palm Beach Gardens
12099000905,Palm Beach Gardens
12099001003,Palm Beach Gardens
12099007750,Wellington
12099007751,Wellington
12099007752,Wellington
12099001801,West Palm Beach - North
12099002100,West Palm Beach - North
12099002300,West Palm Beach - North
12099002400,West Palm Beach - Central
12099002600,West Palm Beach - Central
12099002800,West Palm Beach - South
12099002900,West Palm Beach - South
12099003000,West Palm Beach - South
12099003102,West Palm Beach - South
12099003300,West Palm Beach - South
12099003400,West Palm Beach - South
12099001301,Riviera Beach
12099001802,West Palm Beach - North
12099001910,West Palm Beach - West
